codeQuality,communication,problemSolving,timeManagement,assignment_score,codeQuality_variance,communication_variance,problemSolving_variance,timeManagement_variance,assignment_score_variance,success_rate,domain_count,PromotionStatus,designation_Software Engineer I,designation_Software Engineer II,designation_Software Engineer III,designation_Solution Consultant,designation_Solution Enabler
30.67,32.33,48.0,47.33,44.33,264.33,1012.33,1024.0,1886.33,569.33,0.3333333333333333,2,0,False,False,False,False,True
39.33,79.67,61.67,61.67,60.67,420.33,852.33,696.33,1409.33,645.33,0.3333333333333333,2,2,False,False,False,False,True
61.67,43.0,62.0,27.0,53.33,226.33,976.0,489.0,1039.0,1430.33,0.3333333333333333,2,1,False,False,False,True,False
66.33,50.0,23.67,33.0,62.0,874.33,1252.0,182.33,1359.0,1387.0,0.6666666666666666,2,1,True,False,False,False,False
38.67,23.0,29.0,24.0,30.67,956.33,1267.0,1084.0,309.0,129.33,0.0,3,0,False,False,True,False,False
79.33,61.0,23.33,19.67,51.33,146.33,309.0,421.33,201.33,960.33,0.3333333333333333,3,1,False,True,False,False,False
67.67,29.0,64.0,59.67,45.0,537.33,301.0,1413.0,21.33,1333.0,0.3333333333333333,2,1,False,False,True,False,False
41.33,93.0,28.67,59.33,37.0,1820.33,39.0,372.33,1210.33,1813.0,0.3333333333333333,2,1,False,False,False,True,False
19.33,49.0,50.67,65.67,60.67,41.33,1083.0,1460.33,380.33,426.33,0.6666666666666666,2,1,True,False,False,False,False
58.67,20.0,66.67,48.33,62.0,1596.33,331.0,1064.33,1020.33,1101.0,0.6666666666666666,2,1,True,False,False,False,False
43.0,52.0,45.67,46.33,62.33,1812.0,1444.0,385.33,494.33,796.33,0.6666666666666666,2,1,False,True,False,False,False
39.33,63.33,72.33,23.67,39.0,916.33,1046.33,994.33,37.33,592.0,0.0,3,1,False,False,False,True,False
58.67,74.67,51.67,58.33,65.33,902.33,460.33,1270.33,100.33,982.33,0.3333333333333333,2,2,True,False,False,False,False
51.0,68.33,54.67,24.67,65.67,964.0,234.33,2277.33,14.33,1090.33,0.6666666666666666,2,1,True,False,False,False,False
76.0,59.67,63.33,23.0,44.33,772.0,602.33,2110.33,21.0,100.33,0.0,2,1,False,False,False,True,False
58.33,53.33,47.33,71.67,36.33,1062.33,1900.33,212.33,400.33,2324.33,0.3333333333333333,2,1,False,False,False,False,True
44.33,36.33,47.33,70.0,51.67,1605.33,114.33,1944.33,576.0,1365.33,0.6666666666666666,2,1,False,False,False,False,True
21.33,53.0,57.67,39.0,37.67,160.33,193.0,140.33,189.0,881.33,0.3333333333333333,2,0,False,False,False,True,False
31.33,71.33,15.0,54.33,51.0,856.33,366.33,52.0,186.33,1501.0,0.3333333333333333,2,1,False,False,False,True,False
46.67,69.67,34.67,59.33,35.67,482.33,1870.33,2914.33,329.33,745.33,0.3333333333333333,2,1,False,False,True,False,False
47.0,47.0,59.0,45.0,34.33,849.0,1261.0,931.0,343.0,14.33,0.0,1,1,False,False,True,False,False
42.67,36.0,33.67,52.67,77.0,149.33,625.0,54.33,1906.33,291.0,1.0,3,1,True,False,False,False,False
48.0,51.33,72.0,55.33,62.67,52.0,1070.33,219.0,756.33,1365.33,0.6666666666666666,2,2,False,False,False,False,True
95.0,59.0,29.0,57.0,69.33,4.0,468.0,211.0,763.0,1250.33,0.6666666666666666,3,2,False,False,False,False,True
42.33,68.0,35.67,57.67,58.0,2457.33,624.0,500.33,1454.33,1191.0,0.3333333333333333,3,1,True,False,False,False,False
33.0,67.0,25.33,45.67,50.67,1792.0,291.0,270.33,500.33,1342.33,0.3333333333333333,2,1,False,False,False,False,True
38.0,26.67,73.0,83.67,68.33,217.0,529.33,2028.0,57.33,357.33,0.6666666666666666,2,2,False,True,False,False,False
58.67,52.67,42.67,27.33,34.33,1374.33,390.33,1930.33,329.33,1746.33,0.3333333333333333,2,1,False,False,False,True,False
51.33,50.0,51.0,62.67,47.67,945.33,871.0,363.0,26.33,1312.33,0.3333333333333333,3,1,False,False,False,False,True
79.67,52.67,34.33,52.67,73.67,492.33,292.33,82.33,2366.33,209.33,0.6666666666666666,1,2,False,False,False,True,False
57.0,70.67,17.0,52.0,58.33,823.0,234.33,279.0,1168.0,1164.33,0.3333333333333333,2,1,False,False,True,False,False
69.0,50.33,58.67,29.33,54.33,1539.0,1264.33,420.33,969.33,894.33,0.6666666666666666,3,1,False,False,False,True,False
47.33,55.0,15.33,19.33,60.0,384.33,289.0,574.33,706.33,1953.0,0.6666666666666666,2,0,False,True,False,False,False
65.33,63.67,28.67,61.67,41.67,1612.33,241.33,633.33,825.33,852.33,0.3333333333333333,2,1,False,True,False,False,False
51.33,18.67,34.67,50.67,48.0,202.33,374.33,1250.33,940.33,1407.0,0.3333333333333333,2,0,False,False,True,False,False
41.67,43.0,54.67,84.33,47.0,1008.33,1227.0,2025.33,230.33,859.0,0.3333333333333333,2,1,False,False,True,False,False
55.67,70.67,36.33,23.0,40.67,357.33,954.33,858.33,241.0,2025.33,0.3333333333333333,2,1,False,True,False,False,False
50.33,42.33,58.33,48.67,37.0,1520.33,836.33,1094.33,1777.33,2493.0,0.3333333333333333,1,1,False,False,False,False,True
27.67,44.0,19.67,36.67,47.0,350.33,1911.0,86.33,1992.33,49.0,0.0,3,0,False,False,True,False,False
55.33,51.33,87.0,58.33,41.0,625.33,961.33,331.0,225.33,1011.0,0.3333333333333333,2,2,False,False,False,True,False
39.67,68.0,53.33,31.0,27.33,1452.33,507.0,1545.33,1036.0,416.33,0.0,2,1,False,False,False,True,False
57.33,50.33,35.67,54.67,24.0,1522.33,120.33,884.33,456.33,37.0,0.0,2,1,False,False,True,False,False
50.33,69.67,85.33,74.0,68.0,790.33,450.33,230.33,1389.0,2977.0,0.6666666666666666,3,2,False,False,True,False,False
42.67,20.67,48.67,36.33,77.0,786.33,356.33,846.33,160.33,151.0,1.0,2,1,False,False,False,False,True
67.33,36.33,47.67,61.67,71.33,432.33,825.33,1480.33,1381.33,1681.33,0.6666666666666666,2,2,False,False,False,True,False
70.0,35.0,66.33,28.33,66.33,961.0,931.0,394.33,394.33,356.33,0.6666666666666666,2,1,False,False,True,False,False
52.33,77.33,96.0,58.67,82.0,1386.33,316.33,28.0,550.33,117.0,1.0,2,2,False,False,True,False,False
49.67,68.33,41.33,61.67,76.67,534.33,1906.33,1496.33,21.33,152.33,1.0,3,2,False,True,False,False,False
77.67,77.0,33.0,54.67,55.33,57.33,469.0,1132.0,1154.33,569.33,0.3333333333333333,2,2,False,False,False,False,True
61.33,42.0,56.33,75.33,57.33,2857.33,588.0,2436.33,114.33,156.33,0.3333333333333333,2,2,False,False,True,False,False
40.67,34.33,59.0,57.0,55.67,858.33,2330.33,844.0,252.0,581.33,0.3333333333333333,2,1,True,False,False,False,False
54.33,49.0,19.0,61.0,48.0,1137.33,325.0,301.0,1477.0,436.0,0.3333333333333333,3,1,False,True,False,False,False
71.67,53.33,42.33,24.0,43.0,76.33,1302.33,1209.33,784.0,432.0,0.0,2,1,False,False,True,False,False
43.67,48.33,30.67,46.33,32.0,142.33,1537.33,1057.33,1696.33,427.0,0.0,2,0,False,False,False,True,False
63.33,69.33,52.0,26.33,25.33,994.33,1350.33,1333.0,162.33,34.33,0.0,2,1,True,False,False,False,False
47.33,57.33,46.67,47.0,51.67,649.33,836.33,1194.33,637.0,1329.33,0.3333333333333333,2,1,False,False,False,False,True
56.33,65.67,48.33,44.0,58.0,1850.33,290.33,1484.33,1225.0,91.0,0.3333333333333333,2,1,False,False,True,False,False
45.0,70.33,79.33,50.33,83.67,76.0,849.33,710.33,805.33,320.33,1.0,1,2,True,False,False,False,False
53.67,56.67,29.67,57.0,65.0,1508.33,32.33,812.33,811.0,873.0,0.3333333333333333,2,1,True,False,False,False,False
57.33,52.33,84.67,63.67,45.33,1312.33,1484.33,177.33,602.33,12.33,0.0,3,2,False,False,False,True,False
75.33,56.33,28.33,81.67,49.67,1285.33,1820.33,394.33,369.33,30.33,0.0,2,2,False,False,True,False,False
44.33,40.67,66.0,33.33,71.0,46.33,14.33,589.0,2858.33,433.0,0.6666666666666666,2,1,True,False,False,False,False
57.67,38.0,72.67,64.0,32.33,1094.33,637.0,552.33,516.0,2242.33,0.3333333333333333,3,1,False,True,False,False,False
60.67,21.67,64.33,38.67,19.0,585.33,258.33,1946.33,756.33,21.0,0.0,2,0,True,False,False,False,False
61.0,61.67,61.33,51.67,89.67,769.0,2536.33,174.33,1230.33,85.33,1.0,2,2,False,True,False,False,False
66.0,62.0,52.33,60.0,64.33,741.0,9.0,1084.33,2133.0,1.33,1.0,2,2,False,False,False,True,False
31.67,78.33,62.33,35.0,64.67,56.33,952.33,2676.33,313.0,1308.33,0.6666666666666666,2,1,True,False,False,False,False
64.33,22.0,41.67,91.67,33.67,1136.33,172.0,1684.33,44.33,1992.33,0.3333333333333333,2,1,False,False,False,False,True
72.67,66.33,72.33,54.33,40.0,880.33,476.33,465.33,254.33,900.0,0.3333333333333333,3,2,False,False,True,False,False
58.33,47.0,58.0,79.67,19.67,1417.33,1776.0,931.0,137.33,345.33,0.0,3,1,False,False,True,False,False
56.33,24.67,46.0,62.0,88.0,940.33,246.33,2224.0,1036.0,49.0,1.0,2,2,False,True,False,False,False
41.33,46.0,64.0,52.33,75.33,906.33,1792.0,868.0,1334.33,681.33,0.6666666666666666,2,2,False,False,False,True,False
74.33,40.0,53.0,46.0,46.0,160.33,903.0,1201.0,1783.0,463.0,0.3333333333333333,2,1,False,False,False,True,False
46.33,44.67,72.0,49.67,53.67,1174.33,72.33,859.0,1374.33,842.33,0.6666666666666666,2,1,False,False,False,False,True
76.67,57.67,55.0,63.33,32.33,316.33,2096.33,831.0,1408.33,212.33,0.0,2,2,False,True,False,False,False
86.33,82.67,29.0,29.33,54.33,66.33,133.33,1519.0,1442.33,556.33,0.3333333333333333,2,2,True,False,False,False,False
36.67,51.67,74.0,66.0,29.67,294.33,2069.33,631.0,403.0,56.33,0.0,2,1,False,False,True,False,False
60.67,53.0,30.0,36.67,71.67,66.33,1213.0,481.0,312.33,272.33,0.6666666666666666,2,1,False,False,False,False,True
35.0,36.67,40.33,65.0,68.67,763.0,1345.33,2190.33,169.0,741.33,0.6666666666666666,2,1,False,False,True,False,False
72.33,31.67,44.33,55.67,80.0,558.33,2641.33,2396.33,940.33,316.0,1.0,2,2,True,False,False,False,False
44.67,49.0,51.33,49.0,57.0,1329.33,1821.0,226.33,975.0,1141.0,0.3333333333333333,3,1,False,False,False,True,False
45.67,65.0,37.67,72.33,70.0,2025.33,756.0,284.33,440.33,331.0,0.6666666666666666,1,2,False,False,False,True,False
20.67,32.0,43.67,42.33,41.0,670.33,787.0,1265.33,529.33,237.0,0.0,2,0,False,True,False,False,False
33.33,27.33,62.0,74.0,41.33,1344.33,457.33,1729.0,1951.0,1066.33,0.3333333333333333,1,1,True,False,False,False,False
34.0,57.0,44.33,45.33,49.33,471.0,1027.0,457.33,1850.33,580.33,0.3333333333333333,2,1,False,False,False,False,True
63.33,54.67,29.33,63.0,32.33,94.33,709.33,226.33,1183.0,1185.33,0.3333333333333333,3,1,False,False,False,True,False
59.67,75.33,50.33,28.33,50.33,597.33,16.33,1374.33,826.33,956.33,0.3333333333333333,2,1,False,False,False,False,True
76.0,52.67,62.67,48.0,53.0,363.0,956.33,1276.33,12.0,133.0,0.3333333333333333,2,2,False,False,False,False,True
48.0,35.0,43.0,40.0,57.33,625.0,487.0,1533.0,453.0,506.33,0.3333333333333333,3,1,False,False,False,False,True
56.33,34.0,85.67,33.67,57.33,892.33,28.0,364.33,241.33,1682.33,0.6666666666666666,2,1,True,False,False,False,False
54.67,44.0,29.0,11.67,67.33,702.33,2359.0,61.0,16.33,630.33,0.6666666666666666,2,0,False,False,False,True,False
85.67,36.0,59.33,27.33,71.0,86.33,669.0,985.33,69.33,1884.0,0.6666666666666666,1,2,False,False,False,True,False
50.0,49.67,51.0,54.67,63.0,975.0,1104.33,1549.0,814.33,237.0,0.3333333333333333,3,1,True,False,False,False,False
57.67,47.33,50.67,49.33,40.33,534.33,1840.33,770.33,505.33,324.33,0.3333333333333333,2,1,False,False,True,False,False
50.33,51.67,43.0,68.67,63.67,681.33,362.33,1057.0,421.33,234.33,0.3333333333333333,2,2,True,False,False,False,False
20.33,72.33,56.33,76.33,37.33,196.33,508.33,604.33,110.33,940.33,0.3333333333333333,2,1,False,False,False,False,True
77.0,26.67,52.33,58.0,72.33,7.0,424.33,1001.33,523.0,1610.33,0.6666666666666666,2,2,False,False,True,False,False
59.33,64.67,70.0,43.0,38.67,16.33,822.33,751.0,729.0,1126.33,0.3333333333333333,2,2,False,False,True,False,False
52.33,40.33,56.67,45.0,44.0,270.33,892.33,840.33,1575.0,1693.0,0.3333333333333333,3,1,False,False,True,False,False
42.0,28.33,62.33,43.33,45.33,1387.0,394.33,1444.33,990.33,1649.33,0.3333333333333333,2,1,False,True,False,False,False
39.33,48.67,55.33,77.33,54.33,1634.33,956.33,530.33,289.33,1410.33,0.3333333333333333,2,1,False,False,False,False,True
66.0,37.33,72.0,21.67,35.33,873.0,932.33,49.0,0.33,740.33,0.0,2,1,False,True,False,False,False
35.67,46.33,38.33,50.67,54.33,277.33,930.33,1032.33,864.33,1046.33,0.6666666666666666,1,1,False,False,True,False,False
69.0,50.0,49.67,50.33,67.33,739.0,217.0,462.33,1094.33,1985.33,0.6666666666666666,2,2,False,False,True,False,False
51.67,40.0,33.33,33.67,76.33,2402.33,1623.0,1304.33,1049.33,158.33,1.0,2,1,True,False,False,False,False
58.0,34.67,66.0,25.33,30.67,112.0,385.33,853.0,54.33,652.33,0.0,2,1,False,False,False,False,True
53.67,67.33,74.67,32.33,64.33,1974.33,450.33,226.33,880.33,460.33,0.3333333333333333,2,2,False,False,False,False,True
36.33,74.0,65.33,72.67,49.0,552.33,417.0,2270.33,165.33,1849.0,0.3333333333333333,1,2,False,False,True,False,False
51.67,37.67,59.33,38.67,34.33,881.33,592.33,40.33,508.33,785.33,0.3333333333333333,2,1,False,False,False,True,False
52.67,48.33,47.67,55.0,48.0,732.33,1944.33,1858.33,337.0,169.0,0.3333333333333333,3,1,False,False,False,True,False
42.33,48.67,62.33,56.67,54.33,1164.33,870.33,154.33,2137.33,1622.33,0.6666666666666666,2,1,False,False,True,False,False
21.67,60.67,74.0,19.67,30.0,261.33,882.33,876.0,526.33,379.0,0.0,2,0,False,False,False,True,False
22.0,61.0,58.67,39.0,39.0,403.0,1351.0,70.33,1525.0,1963.0,0.3333333333333333,2,1,True,False,False,False,False
31.0,26.0,70.67,38.0,19.67,301.0,703.0,801.33,1875.0,74.33,0.0,2,0,False,False,True,False,False
45.33,46.33,10.33,6.67,42.0,1737.33,1530.33,1.33,9.33,1156.0,0.3333333333333333,2,0,False,True,False,False,False
40.0,45.33,53.67,80.0,56.67,999.0,1304.33,16.33,343.0,680.33,0.6666666666666666,2,2,False,False,False,False,True
72.67,46.33,83.0,75.67,55.0,120.33,186.33,48.0,716.33,883.0,0.3333333333333333,3,2,False,False,False,False,True
35.0,77.33,16.33,50.67,76.67,403.0,284.33,352.33,361.33,430.33,0.6666666666666666,3,1,False,False,True,False,False
27.67,61.33,43.0,43.33,42.33,208.33,44.33,559.0,1617.33,1934.33,0.3333333333333333,2,1,False,False,False,True,False
29.67,32.0,65.67,61.0,34.67,22.33,2368.0,836.33,1867.0,740.33,0.3333333333333333,2,1,True,False,False,False,False
18.33,51.67,34.67,61.67,44.33,514.33,562.33,1056.33,1754.33,1584.33,0.3333333333333333,3,1,False,False,True,False,False
34.67,65.0,61.0,32.67,45.0,160.33,144.0,961.0,1104.33,916.0,0.3333333333333333,3,1,False,True,False,False,False
52.33,43.67,52.0,26.0,70.33,940.33,1458.33,301.0,700.0,124.33,1.0,2,1,False,True,False,False,False
64.67,39.0,18.0,28.67,76.0,577.33,2700.0,36.0,716.33,1323.0,0.6666666666666666,1,1,False,False,False,True,False
70.0,47.33,71.0,66.67,47.0,876.0,1146.33,403.0,486.33,76.0,0.0,3,2,False,True,False,False,False
74.0,42.67,50.0,46.33,60.67,511.0,1076.33,1057.0,2201.33,506.33,0.3333333333333333,2,1,False,False,True,False,False
43.67,37.33,59.67,32.67,52.0,294.33,1241.33,1804.33,1292.33,921.0,0.3333333333333333,2,1,True,False,False,False,False
26.0,41.67,27.0,55.33,35.0,151.0,177.33,2107.0,514.33,403.0,0.0,2,0,False,False,False,True,False
62.33,24.67,65.0,45.33,75.67,1454.33,858.33,844.0,1436.33,446.33,0.6666666666666666,3,1,False,True,False,False,False
47.0,34.33,34.0,47.33,46.33,1204.0,1458.33,1011.0,564.33,729.33,0.3333333333333333,2,0,False,False,True,False,False
47.67,14.67,65.0,39.33,39.0,1346.33,120.33,124.0,2290.33,1153.0,0.3333333333333333,3,0,False,False,False,False,True
75.33,44.0,23.0,57.0,40.67,254.33,763.0,300.0,571.0,70.33,0.0,2,1,False,False,True,False,False
56.0,54.67,50.33,50.0,28.0,687.0,2014.33,800.33,625.0,1539.0,0.3333333333333333,2,1,False,True,False,False,False
50.33,54.33,64.0,64.67,19.67,1486.33,30.33,2527.0,462.33,424.33,0.0,1,1,False,False,False,True,False
61.33,75.0,66.0,70.33,34.67,312.33,1389.0,832.0,1310.33,184.33,0.0,2,2,False,False,False,True,False
57.0,64.0,67.33,67.0,29.33,2509.0,1236.0,256.33,124.0,364.33,0.0,2,2,False,False,False,False,True
10.67,35.67,50.0,74.67,45.33,40.33,858.33,1281.0,758.33,50.33,0.0,2,1,True,False,False,False,False
57.33,86.33,33.33,33.33,21.67,1032.33,52.33,692.33,676.33,462.33,0.0,2,1,True,False,False,False,False
43.33,70.33,58.33,39.0,44.33,1722.33,1684.33,940.33,1099.0,1929.33,0.3333333333333333,2,1,False,False,True,False,False
57.0,72.0,66.33,28.67,47.0,976.0,817.0,705.33,561.33,1084.0,0.6666666666666666,2,1,False,False,False,False,True
62.67,26.33,27.67,36.67,61.67,1204.33,242.33,784.33,716.33,1260.33,0.6666666666666666,3,1,False,True,False,False,False
55.0,93.67,63.67,39.67,45.67,1209.0,2.33,1016.33,2001.33,1260.33,0.3333333333333333,2,2,False,False,True,False,False
54.0,31.0,42.67,86.0,61.67,1648.0,441.0,609.33,13.0,1812.33,0.6666666666666666,2,2,False,False,True,False,False
48.0,33.33,58.33,68.67,90.33,507.0,390.33,1710.33,466.33,42.33,1.0,2,2,False,False,False,True,False
54.33,11.67,58.0,82.33,65.33,1674.33,234.33,1231.0,177.33,692.33,0.6666666666666666,3,1,False,False,True,False,False
28.33,34.33,62.67,30.33,71.33,556.33,625.33,1520.33,197.33,456.33,0.6666666666666666,1,1,False,True,False,False,False
39.67,41.67,26.0,12.33,30.33,533.33,1222.33,868.0,100.33,382.33,0.0,2,0,False,False,False,False,True
33.0,54.0,53.67,48.33,30.0,592.0,2007.0,1202.33,582.33,1009.0,0.3333333333333333,2,1,False,True,False,False,False
42.33,28.33,38.67,23.67,50.33,646.33,386.33,646.33,630.33,340.33,0.3333333333333333,3,0,True,False,False,False,False
61.0,30.33,26.67,37.67,62.0,577.0,182.33,837.33,4.33,508.0,0.3333333333333333,2,1,False,False,False,False,True
39.0,59.0,38.67,35.33,74.0,19.0,1459.0,174.33,192.33,1659.0,0.6666666666666666,2,1,False,True,False,False,False
59.67,64.67,15.67,46.0,32.0,532.33,965.33,305.33,784.0,2029.0,0.3333333333333333,2,1,False,False,True,False,False
32.0,53.0,42.67,75.0,13.67,25.0,1053.0,257.33,373.0,126.33,0.0,2,1,True,False,False,False,False
37.33,61.33,31.0,54.0,34.67,856.33,1417.33,2191.0,967.0,726.33,0.3333333333333333,2,1,False,True,False,False,False
47.0,74.67,49.33,62.67,49.33,1011.0,366.33,17.33,660.33,1244.33,0.3333333333333333,1,2,True,False,False,False,False
61.33,45.67,3.67,24.0,40.33,1072.33,1630.33,2.33,337.0,1057.33,0.3333333333333333,2,0,False,False,False,False,True
43.33,14.67,43.0,31.0,30.33,1322.33,200.33,196.0,432.0,762.33,0.0,2,0,False,True,False,False,False
39.33,48.33,44.33,67.33,44.67,858.33,561.33,489.33,1166.33,1746.33,0.3333333333333333,2,1,False,True,False,False,False
51.67,35.33,35.0,39.0,66.33,684.33,86.33,927.0,1519.0,1352.33,0.6666666666666666,3,1,False,True,False,False,False
35.33,44.0,60.33,43.67,52.67,1044.33,1452.0,457.33,1402.33,1106.33,0.6666666666666666,2,1,True,False,False,False,False
82.0,23.33,77.67,52.33,41.67,772.0,1432.33,905.33,1640.33,180.33,0.0,3,2,False,False,False,True,False
47.67,42.33,57.67,32.67,47.67,1612.33,1066.33,1724.33,165.33,1760.33,0.6666666666666666,2,1,False,False,False,True,False
41.33,36.67,81.0,43.33,44.67,1122.33,464.33,481.0,2166.33,96.33,0.0,2,1,True,False,False,False,False
54.67,20.33,48.0,64.67,41.33,312.33,346.33,1543.0,908.33,204.33,0.0,2,1,False,False,False,True,False
21.33,53.67,72.67,23.0,34.67,350.33,758.33,1200.33,279.0,2572.33,0.3333333333333333,3,0,False,True,False,False,False
40.33,51.33,61.0,70.0,69.0,240.33,1605.33,1741.0,1141.0,463.0,0.6666666666666666,2,2,False,True,False,False,False
46.0,54.33,28.67,49.67,34.67,657.0,434.33,1977.33,1400.33,44.33,0.0,2,1,False,True,False,False,False
62.0,53.33,52.0,46.67,60.33,2308.0,5.33,1519.0,110.33,233.33,0.3333333333333333,2,1,False,False,False,False,True
30.33,32.33,67.33,22.33,71.0,1512.33,2585.33,674.33,82.33,1051.0,0.6666666666666666,2,1,False,False,True,False,False
36.67,55.67,49.0,59.67,17.67,905.33,1144.33,532.0,1497.33,217.33,0.0,2,1,False,False,True,False,False
31.33,33.33,57.0,39.67,60.67,846.33,969.33,844.0,145.33,1064.33,0.6666666666666666,2,1,False,True,False,False,False
29.0,74.33,81.0,67.0,71.67,823.0,12.33,481.0,1029.0,674.33,0.6666666666666666,2,2,False,False,True,False,False
48.33,63.0,55.67,52.67,37.0,1072.33,1621.0,516.33,900.33,1872.0,0.3333333333333333,2,1,False,False,False,False,True
64.67,42.67,31.33,26.33,34.67,2014.33,662.33,1202.33,401.33,1416.33,0.3333333333333333,1,0,False,False,True,False,False
36.33,42.0,37.0,58.33,42.67,369.33,925.0,201.0,264.33,849.33,0.3333333333333333,2,1,False,True,False,False,False
64.33,57.0,69.67,65.67,46.33,1472.33,103.0,270.33,2002.33,2210.33,0.3333333333333333,2,2,False,True,False,False,False
50.33,67.0,46.0,35.67,42.33,1276.33,127.0,112.0,1080.33,184.33,0.0,1,1,True,False,False,False,False
50.33,42.33,36.33,16.0,59.0,850.33,940.33,0.33,433.0,676.0,0.3333333333333333,2,0,False,True,False,False,False
61.33,71.0,75.33,60.67,50.67,882.33,387.0,945.33,1260.33,1761.33,0.3333333333333333,2,2,False,False,False,True,False
57.33,71.67,71.33,30.0,53.0,864.33,1472.33,933.33,13.0,547.0,0.3333333333333333,2,2,False,False,False,True,False
45.33,63.67,19.67,56.0,73.33,374.33,1157.33,350.33,301.0,197.33,1.0,3,1,False,False,False,False,True
20.33,72.67,51.0,74.33,85.67,37.33,46.33,1741.0,506.33,108.33,1.0,3,2,False,False,False,True,False
92.67,45.0,48.33,64.0,57.67,10.33,1011.0,1994.33,1051.0,614.33,0.3333333333333333,2,2,True,False,False,False,False
28.0,33.67,60.67,66.33,61.0,27.0,1158.33,54.33,530.33,1147.0,0.6666666666666666,2,1,False,False,False,True,False
40.67,66.0,67.67,41.67,4.67,124.33,1317.0,358.33,2142.33,32.33,0.0,3,1,True,False,False,False,False
32.33,55.33,73.0,56.33,65.67,2105.33,1476.33,25.0,294.33,801.33,0.6666666666666666,2,2,False,False,False,False,True
74.33,55.67,64.33,43.33,20.0,532.33,86.33,1529.33,362.33,117.0,0.0,3,1,False,False,False,True,False
46.33,66.67,67.33,49.33,46.67,460.33,902.33,692.33,1374.33,1916.33,0.3333333333333333,2,2,False,False,True,False,False
17.67,79.33,31.67,59.0,59.0,209.33,226.33,641.33,1456.0,1339.0,0.6666666666666666,2,1,False,True,False,False,False
48.33,49.67,73.0,33.67,81.33,620.33,604.33,679.0,110.33,649.33,0.6666666666666666,2,2,False,False,False,True,False
63.0,26.33,40.0,62.0,57.0,52.0,956.33,1159.0,2641.0,103.0,0.3333333333333333,2,1,False,False,False,True,False
46.0,63.67,83.67,92.67,42.0,2212.0,1089.33,265.33,30.33,1261.0,0.6666666666666666,2,2,False,False,True,False,False
42.0,29.33,53.33,66.33,57.33,1264.0,308.33,2082.33,124.33,709.33,0.6666666666666666,2,1,False,False,False,False,True
23.67,59.33,41.67,25.67,36.67,316.33,1225.33,1976.33,602.33,1224.33,0.3333333333333333,2,0,False,False,True,False,False
67.67,66.67,30.0,41.33,44.0,389.33,277.33,481.0,681.33,588.0,0.3333333333333333,2,1,False,False,False,False,True
