employeeId,trainingId,trainerId,codeQuality,communication,problemSolving,timeManagement,assignment_score
247,4,113,93,74,46,7,45
247,44,135,75,41,6,35,85
247,18,159,70,68,18,17,24
248,1,102,41,40,100,65,44
248,15,126,79,9,25,57,9
248,28,134,83,38,67,57,82
249,42,57,1,86,35,34,1
249,28,134,37,95,44,45,26
249,4,113,86,98,7,99,84
250,33,136,24,60,67,88,70
250,36,201,22,75,7,57,75
250,24,62,12,12,78,52,37
251,17,180,14,9,29,12,66
251,23,137,71,41,85,61,93
251,5,70,91,10,86,72,27
252,3,153,5,42,57,72,75
252,17,180,35,94,23,34,82
252,21,191,89,20,57,33,30
253,18,159,67,83,100,29,11
253,34,80,44,26,79,17,55
253,30,49,7,81,38,25,51
254,14,219,77,85,48,62,39
254,28,134,75,50,18,47,100
254,35,21,24,89,89,66,57
255,37,199,81,59,0,22,98
255,23,137,19,86,76,29,67
255,17,180,53,60,88,23,32
256,46,187,94,46,11,22,52
256,10,61,90,45,97,28,33
256,38,159,44,88,82,19,48
257,30,49,22,79,59,92,92
257,20,35,85,3,31,52,8
257,14,219,68,78,52,71,9
258,38,159,47,48,44,46,73
258,49,148,3,34,5,94,9
258,48,146,83,27,93,70,73
259,16,91,35,60,64,27,45
259,12,156,19,62,44,36,63
259,2,86,10,37,65,54,5
260,43,138,17,50,21,52,56
260,19,199,65,87,17,42,10
260,22,104,12,77,7,69,87
261,36,201,35,20,3,76,23
261,41,168,33,99,97,40,67
261,30,49,72,90,4,62,17
262,28,134,40,83,50,46,36
262,27,92,22,46,93,63,30
262,20,35,79,12,34,26,37
263,31,83,56,11,28,57,63
263,26,54,40,61,31,94,96
263,48,146,32,36,42,7,72
264,19,199,56,86,62,83,84
264,48,146,42,21,89,28,84
264,40,194,46,47,65,55,20
265,44,135,97,35,15,66,95
265,47,122,95,65,28,26,84
265,36,201,93,77,44,79,29
266,13,76,21,40,46,47,93
266,48,146,7,76,10,100,57
266,9,172,99,88,51,26,24
267,27,92,17,62,13,56,47
267,32,75,81,53,19,61,89
267,33,136,1,86,44,20,16
268,6,76,35,4,21,75,83
268,28,134,25,26,99,87,47
268,3,153,54,50,99,89,75
269,44,135,83,74,23,14,4
269,28,134,16,49,12,48,17
269,18,159,77,35,93,20,82
270,47,122,66,35,29,64,14
270,1,102,72,84,62,67,86
270,2,86,16,31,62,57,43
271,34,80,55,33,26,99,81
271,38,159,98,64,44,57,57
271,42,57,86,61,33,2,83
272,21,191,24,53,2,88,55
272,8,44,71,79,35,20,94
272,5,70,76,80,14,48,26
273,43,138,24,87,38,0,22
273,39,180,87,16,79,62,81
273,17,180,96,48,59,26,60
274,34,80,29,55,2,5,84
274,38,159,68,38,43,3,87
274,44,135,45,72,1,50,9
275,35,21,19,59,52,83,8
275,7,73,87,51,2,73,57
275,29,159,90,81,32,29,60
276,21,191,35,7,9,31,11
276,4,113,61,8,20,35,86
276,38,159,58,41,75,86,47
277,32,75,5,36,54,98,24
277,39,180,60,12,10,68,80
277,37,199,60,81,100,87,37
278,4,113,49,89,48,7,8
278,6,76,77,88,58,38,22
278,28,134,41,35,3,24,92
279,23,137,38,32,90,84,94
279,17,180,19,20,61,60,1
279,4,113,94,75,24,2,16
280,27,92,14,13,17,88,50
280,45,120,49,25,30,15,39
280,34,80,20,94,12,7,52
281,1,102,44,16,98,73,12
281,22,104,38,74,66,59,75
281,13,76,84,64,97,43,36
282,37,199,76,90,98,67,5
282,7,73,43,45,24,21,32
282,3,153,0,69,38,5,45
283,8,44,19,38,70,39,27
283,36,201,97,59,18,79,17
283,35,21,56,54,19,46,28
284,3,153,64,46,88,31,99
284,29,159,69,87,69,94,100
284,12,156,18,76,99,97,5
285,19,199,12,25,79,22,82
285,31,83,67,37,21,41,86
285,5,70,49,0,46,46,63
286,45,120,91,69,28,19,24
286,34,80,52,25,92,79,96
286,12,156,59,15,23,87,94
287,8,44,81,44,73,6,62
287,27,92,35,1,82,35,87
287,32,75,94,60,44,44,50
288,25,103,67,85,100,51,91
288,49,148,80,90,98,85,70
288,30,49,10,57,90,40,85
289,11,88,74,91,5,67,87
289,39,180,28,96,37,59,63
289,14,219,47,18,82,59,80
290,26,54,69,74,7,17,48
290,6,76,81,57,71,83,82
290,18,159,83,100,21,64,36
291,48,146,98,68,0,66,70
291,35,21,0,38,92,73,57
291,25,103,86,20,77,87,45
292,43,138,19,9,29,63,33
292,8,44,74,4,61,69,53
292,41,168,29,90,87,39,81
293,41,168,93,29,39,73,72
293,11,88,39,54,10,18,34
293,24,62,31,64,8,92,38
294,2,86,79,32,3,56,55
294,42,57,62,33,69,12,55
294,7,73,74,95,55,4,19
295,3,153,30,53,2,12,35
295,13,76,49,85,66,92,10
295,7,73,52,7,24,35,51
296,38,159,70,88,81,18,32
296,44,135,29,93,11,41,21
296,35,21,91,27,64,20,23
297,19,199,18,90,80,40,45
297,16,91,64,35,49,26,19
297,50,70,60,47,11,75,91
298,25,103,95,75,86,69,49
298,28,134,64,46,50,4,68
298,47,122,10,76,9,59,57
299,40,194,51,83,49,81,94
299,21,191,49,37,90,25,94
299,2,86,35,91,99,45,63
300,23,137,42,52,58,88,41
300,3,153,22,55,30,32,98
300,15,126,97,63,1,51,56
301,29,159,62,90,96,49,42
301,47,122,19,13,88,92,45
301,35,21,91,54,70,50,49
302,21,191,34,65,24,99,50
302,13,76,94,94,11,61,55
302,38,159,98,10,50,85,44
303,3,153,39,38,59,5,82
303,5,70,42,45,46,95,84
303,30,49,52,39,93,0,47
304,31,83,55,21,73,48,87
304,14,219,92,67,96,90,4
304,32,75,26,26,49,54,6
305,24,62,88,15,15,66,15
305,33,136,52,40,78,11,24
305,36,201,42,10,100,39,18
306,42,57,46,4,73,18,95
306,7,73,44,97,64,49,95
306,17,180,93,84,47,88,79
307,8,44,95,65,38,99,65
307,6,76,62,62,90,72,65
307,47,122,41,59,29,9,63
308,36,201,24,43,3,54,83
308,39,180,39,92,98,32,23
308,30,49,32,100,86,19,88
309,14,219,100,36,16,90,4
309,2,86,33,20,20,99,12
309,36,201,60,10,89,86,85
310,8,44,95,90,57,62,70
310,2,86,39,47,63,65,40
310,4,113,84,62,97,36,10
311,18,159,77,3,23,71,41
311,14,219,83,87,79,75,7
311,12,156,15,51,72,93,11
312,7,73,30,37,6,28,85
312,6,76,90,7,34,92,83
312,5,70,49,30,98,66,96
313,28,134,17,14,38,88,84
313,29,159,32,30,58,15,46
313,45,120,75,94,96,54,96
314,45,120,60,51,93,37,45
314,27,92,84,6,34,9,25
314,24,62,79,63,32,92,68
315,33,136,74,36,95,14,79
315,43,138,57,45,39,47,60
315,21,191,8,53,82,88,22
316,37,199,69,88,29,85,46
316,34,80,64,5,50,85,34
316,11,88,97,80,86,20,17
317,35,21,90,96,6,4,79
317,26,54,77,76,7,73,52
317,14,219,92,76,74,11,32
318,13,76,21,89,89,85,34
318,26,54,34,1,45,68,21
318,2,86,55,65,88,45,34
319,38,159,55,81,14,57,72
319,14,219,70,64,55,28,88
319,23,137,57,14,21,25,55
320,30,49,66,24,19,80,38
320,43,138,13,8,8,57,78
320,50,70,26,78,94,58,90
321,40,194,99,1,25,27,60
321,5,70,64,3,100,52,86
321,8,44,54,91,8,88,94
322,41,168,38,98,37,84,96
322,22,104,84,20,50,24,38
322,37,199,12,29,67,39,37
323,33,136,27,71,26,56,80
323,38,159,97,89,57,65,49
323,12,156,13,35,30,96,81
324,42,57,11,5,5,65,37
324,27,92,50,61,75,43,58
324,1,102,1,30,51,19,28
325,13,76,6,52,85,100,7
325,50,70,19,16,87,23,72
325,23,137,75,14,14,99,45
326,4,113,48,39,69,21,38
326,49,148,45,94,33,20,77
326,46,187,9,38,31,95,33
327,37,199,74,32,12,26,71
327,3,153,61,48,37,94,21
327,17,180,55,84,39,69,5
328,25,103,33,71,32,59,34
328,21,191,65,76,93,2,31
328,47,122,81,79,26,24,86
329,34,80,98,72,77,46,40
329,42,57,65,69,89,52,57
329,21,191,65,17,22,46,62
330,29,159,48,37,87,17,35
330,14,219,23,56,12,44,57
330,32,75,73,12,30,59,80
331,37,199,46,30,93,29,72
331,30,49,90,40,100,51,11
331,2,86,33,32,64,21,89
332,35,21,25,7,25,16,91
332,45,120,76,99,24,8,70
332,17,180,63,26,38,11,41
333,31,83,75,8,84,18,99
333,27,92,92,59,70,30,21
333,18,159,90,41,24,34,93
334,32,75,15,88,23,53,50
334,9,172,75,32,96,27,59
334,44,135,60,29,34,84,80
335,34,80,72,96,55,30,32
335,44,135,31,31,76,44,28
335,16,91,70,15,21,74,61
336,32,75,53,70,75,74,58
336,6,76,23,32,44,86,81
336,33,136,75,53,10,46,52
337,43,138,34,94,82,87,41
337,27,92,6,74,54,66,5
337,30,49,21,49,33,76,66
338,8,44,76,19,87,32,96
338,22,104,75,50,25,67,26
338,20,35,80,11,45,75,95
339,31,83,57,95,91,16,11
339,28,134,64,38,39,70,76
339,16,91,57,61,80,43,29
340,6,76,46,74,89,15,5
340,16,91,40,30,33,30,40
340,13,76,71,17,48,90,87
341,45,120,84,50,78,61,26
341,10,61,13,11,90,62,18
341,3,153,29,24,19,7,92
342,12,156,15,40,33,94,52
342,15,126,17,23,79,60,93
342,30,49,86,83,54,78,18
343,9,172,99,67,72,21,4
343,7,73,42,39,65,22,49
343,14,219,57,6,79,22,53
344,50,70,17,16,50,75,18
344,19,199,41,46,63,18,65
344,26,54,49,77,2,59,80
345,44,135,62,41,26,16,16
345,48,146,99,67,68,53,96
345,1,102,46,42,55,82,90
346,15,126,53,11,75,17,63
346,17,180,2,23,11,71,78
346,5,70,100,86,14,13,88
347,50,70,70,12,93,28,39
347,49,148,50,46,70,17,51
347,48,146,54,46,35,31,2
348,44,135,3,43,76,10,50
348,29,159,72,77,59,21,54
348,31,83,86,82,89,66,89
349,42,57,13,67,11,82,6
349,12,156,36,97,85,58,92
349,17,180,60,58,100,78,49
350,14,219,19,64,52,37,33
350,12,156,77,33,63,62,7
350,49,148,59,16,63,17,63
351,38,159,59,9,1,47,63
351,1,102,23,96,86,76,41
351,41,168,76,40,56,42,40
352,4,113,39,70,69,8,8
352,36,201,10,15,70,62,74
352,39,180,78,61,48,100,81
353,36,201,3,51,40,4,52
353,49,148,31,94,88,9,15
353,12,156,31,37,94,46,23
354,21,191,43,27,49,84,90
354,19,199,3,56,63,19,10
354,14,219,20,100,64,14,17
355,6,76,11,25,88,13,18
355,39,180,42,0,86,13,12
355,42,57,40,53,38,88,29
356,11,88,0,76,9,10,8
356,26,54,82,61,11,4,42
356,39,180,54,2,11,6,76
357,43,138,7,42,58,94,67
357,38,159,43,11,50,59,27
357,12,156,70,83,53,87,76
358,12,156,79,61,79,100,89
358,41,168,79,34,79,47,34
358,20,35,60,44,91,80,42
359,39,180,12,85,38,32,73
359,25,103,44,58,5,70,58
359,45,120,49,89,6,50,99
360,36,201,36,57,60,88,93
360,33,136,36,58,16,32,20
360,38,159,11,69,53,10,14
361,37,199,28,8,33,70,17
361,27,92,26,0,76,14,66
361,48,146,35,88,88,99,21
362,36,201,1,30,35,15,17
362,45,120,10,77,2,74,90
362,10,61,44,48,67,96,26
363,28,134,25,65,92,71,79
363,38,159,30,53,61,12,21
363,44,135,49,77,30,15,35
364,23,137,56,77,48,6,62
364,28,134,20,2,71,56,83
364,26,54,81,52,37,16,66
365,27,92,40,9,12,33,97
365,39,180,88,9,18,53,97
365,6,76,66,99,24,0,34
366,9,172,84,33,57,61,41
366,7,73,90,86,94,91,43
366,33,136,36,23,62,48,57
367,18,159,55,65,51,9,86
367,48,146,68,58,82,31,43
367,27,92,99,5,17,99,53
368,3,153,28,18,98,4,36
368,13,76,62,78,14,73,87
368,19,199,41,16,67,21,33
369,11,88,12,45,80,47,49
369,32,75,31,27,0,38,44
369,18,159,35,53,1,81,12
370,50,70,73,13,93,11,56
370,27,92,20,58,67,86,98
370,41,168,94,3,35,39,73
371,8,44,9,76,0,20,47
371,6,76,77,26,63,59,73
371,41,168,55,1,39,63,19
372,44,135,9,21,77,19,55
372,24,62,82,21,63,94,0
372,10,61,52,2,55,5,62
373,27,92,93,15,13,83,31
373,50,70,71,70,13,36,45
373,22,104,62,47,43,52,46
374,6,76,49,77,74,50,1
374,47,122,85,3,19,25,73
374,23,137,34,84,58,75,10
375,25,103,21,57,91,83,12
375,34,80,94,48,95,41,4
375,33,136,36,58,6,70,43
376,8,44,73,32,34,30,49
376,4,113,70,98,74,100,33
376,28,134,41,95,90,81,22
377,5,70,2,78,83,57,22
377,44,135,100,24,51,65,15
377,1,102,69,90,68,79,51
378,20,35,7,24,39,88,44
378,11,88,7,69,90,93,39
378,17,180,18,14,21,43,53
379,47,122,82,90,57,7,22
379,10,61,69,91,38,59,43
379,1,102,21,78,5,34,0
380,47,122,2,23,23,12,21
380,48,146,85,96,78,29,17
380,30,49,43,92,74,76,95
381,8,44,93,88,97,14,67
381,41,168,37,89,51,16,9
381,29,159,41,39,51,56,65
382,49,148,67,41,0,7,62
382,41,168,95,10,56,59,26
382,28,134,26,28,27,44,97
383,34,80,50,94,58,9,81
383,7,73,92,95,35,91,10
383,26,54,23,92,98,19,46
384,19,199,62,22,22,87,92
384,22,104,10,55,36,89,13
384,46,187,90,16,70,82,80
385,25,103,71,37,68,46,84
385,28,134,26,51,13,71,97
385,42,57,47,12,94,89,90
386,45,120,21,29,29,97,70
386,9,172,100,0,48,79,89
386,22,104,42,6,97,71,37
387,28,134,26,35,75,45,87
387,29,159,53,59,94,29,47
387,9,172,6,9,19,17,80
388,9,172,53,55,20,20,32
388,31,83,53,2,0,16,10
388,4,113,13,68,58,1,49
389,45,120,17,87,15,42,65
389,23,137,61,3,64,28,22
389,22,104,21,72,82,75,3
390,47,122,37,43,25,21,55
390,3,153,70,36,68,0,30
390,31,83,20,6,23,50,66
391,44,135,42,44,60,40,50
391,16,91,53,17,12,37,48
391,34,80,88,30,8,36,88
392,33,136,37,72,36,39,99
392,36,201,36,16,27,47,96
392,12,156,44,89,53,20,27
393,46,187,86,30,1,46,7
393,34,80,43,90,11,18,84
393,30,49,50,74,35,74,5
394,21,191,32,62,58,71,26
394,27,92,37,17,26,96,11
394,20,35,27,80,44,58,4
395,32,75,62,80,2,27,64
395,16,91,5,18,6,47,29
395,49,148,45,86,85,88,11
396,11,88,42,72,48,33,27
396,22,104,18,57,46,77,31
396,49,148,81,95,54,78,90
397,4,113,51,36,5,16,29
397,17,180,35,11,4,11,77
397,7,73,98,90,2,45,15
398,48,146,18,31,43,19,54
398,27,92,27,7,29,19,37
398,20,35,85,6,57,55,0
399,7,73,6,21,21,30,39
399,17,180,51,61,47,75,89
399,46,187,61,63,65,97,6
400,39,180,76,29,2,29,75
400,14,219,24,31,62,82,26
400,26,54,55,46,41,6,98
401,1,102,23,88,65,37,15
401,5,70,11,22,79,84,65
401,25,103,72,22,37,10,78
402,13,76,100,0,93,42,32
402,16,91,50,3,43,97,57
402,29,159,96,67,97,18,36
403,9,172,94,46,86,42,0
403,19,199,26,73,77,38,64
403,13,76,23,8,10,18,79
404,43,138,41,61,56,97,39
404,44,135,8,29,90,19,56
404,34,80,75,20,97,14,39
405,49,148,46,3,5,33,29
405,28,134,75,18,82,93,57
405,12,156,43,40,57,68,38
406,40,194,0,27,33,20,10
406,25,103,35,52,97,41,1
406,9,172,29,82,88,8,93
407,39,180,29,82,100,90,90
407,4,113,34,66,17,31,70
407,23,137,58,6,66,89,47
408,43,138,43,36,4,36,29
408,21,191,22,50,2,21,33
408,24,62,73,77,80,92,42
409,46,187,8,56,94,57,57
409,48,146,100,52,45,47,47
409,23,137,78,52,17,36,77
410,3,153,75,5,39,26,77
410,5,70,12,91,90,12,100
410,45,120,4,1,73,29,36
411,50,70,2,94,31,83,23
411,1,102,52,30,75,15,1
411,49,148,56,43,41,81,29
412,5,70,34,4,55,27,80
412,16,91,1,30,87,41,23
412,40,194,59,66,29,51,79
413,46,187,15,74,57,87,49
413,1,102,62,78,100,30,66
413,44,135,10,71,86,84,100
414,31,83,85,72,35,83,25
414,33,136,22,98,80,52,85
414,12,156,38,19,52,23,1
415,16,91,13,59,70,49,77
415,48,146,87,13,21,19,5
415,30,49,94,56,3,11,22
416,14,219,33,7,53,71,10
416,26,54,19,62,26,64,66
416,34,80,57,57,32,40,52
417,28,134,78,68,76,92,94
417,16,91,21,55,82,91,45
417,29,159,94,48,51,14,0
418,33,136,36,61,34,30,28
418,32,75,91,60,54,71,44
418,47,122,24,80,50,6,55
419,21,191,34,46,36,40,45
419,23,137,33,71,36,5,43
419,46,187,84,10,37,3,89
420,36,201,28,89,40,96,36
420,25,103,71,74,90,25,98
420,19,199,85,50,96,61,18
421,9,172,33,100,38,31,80
421,23,137,90,87,98,26,40
421,24,62,49,28,78,33,39
422,24,62,23,97,12,52,72
422,10,61,56,29,6,75,60
422,46,187,57,65,41,41,88
423,27,92,19,65,46,49,94
423,12,156,15,75,95,92,89
423,44,135,27,78,12,82,74
424,43,138,94,79,95,35,47
424,22,104,95,16,44,99,86
424,25,103,89,40,6,58,40
425,7,73,25,7,69,65,83
425,49,148,25,72,55,90,22
425,48,146,34,22,58,44,78
426,43,138,49,94,76,95,3
426,38,159,28,79,81,12,0
426,28,134,45,25,46,18,11
427,43,138,11,88,78,38,81
427,12,156,85,65,68,72,33
427,47,122,1,13,73,59,83
428,8,44,84,45,75,63,8
428,48,146,48,62,21,42,29
428,32,75,91,60,97,25,23
429,23,137,36,32,91,65,6
429,31,83,71,83,39,76,93
429,25,103,32,85,72,7,41
430,33,136,27,87,9,19,94
430,48,146,1,62,27,63,21
430,41,168,25,89,59,95,62
431,39,180,36,24,48,34,52
431,20,35,77,73,100,44,94
431,49,148,32,52,71,23,98
432,9,172,55,10,33,86,55
432,27,92,69,62,10,97,68
432,50,70,65,7,77,3,48
433,31,83,100,27,91,89,63
433,30,49,24,73,95,99,62
433,9,172,14,91,65,90,1
434,4,113,14,11,92,58,80
434,47,122,30,46,65,62,64
434,31,83,82,31,3,79,28
435,32,75,44,94,16,11,9
435,12,156,16,24,93,54,76
435,18,159,11,60,16,12,25
436,47,122,77,80,35,50,30
436,43,138,45,72,6,62,72
436,4,113,81,48,49,12,30
437,10,61,11,72,60,67,68
437,37,199,59,39,86,57,1
437,40,194,76,72,56,62,49
438,25,103,70,56,99,33,80
438,30,49,46,31,68,10,96
438,3,153,49,70,27,98,11
439,19,199,74,13,92,2,51
439,29,159,22,76,86,2,55
439,14,219,65,23,50,39,32
440,16,91,65,30,98,0,69
440,1,102,86,19,98,56,26
440,50,70,48,18,99,99,43
441,30,49,68,52,59,83,37
441,3,153,51,94,81,51,27
441,4,113,24,62,41,71,50
442,24,62,32,31,8,62,48
442,20,35,14,74,28,80,90
442,36,201,83,77,94,25,46
443,9,172,10,2,51,33,40
443,3,153,21,98,48,92,31
443,26,54,69,56,45,97,86
444,32,75,10,33,23,31,41
444,19,199,2,94,87,31,25
444,27,92,3,73,3,14,91
445,12,156,44,67,37,26,98
445,22,104,88,58,63,62,81
445,3,153,85,54,38,15,49
446,29,159,14,94,54,49,3
446,4,113,2,48,10,8,36
446,40,194,70,92,29,32,72
447,46,187,99,9,29,42,72
447,6,76,29,16,45,72,68
447,36,201,93,15,38,73,20
448,11,88,15,32,50,56,33
448,48,146,83,16,66,40,59
448,37,199,10,93,29,3,45
449,22,104,96,13,86,41,21
449,34,80,64,29,62,87,22
449,28,134,45,64,73,84,24
450,21,191,78,50,5,97,93
450,8,44,3,22,25,67,68
450,43,138,83,13,78,58,51
451,12,156,43,25,98,89,97
451,33,136,13,64,99,46,20
451,36,201,63,2,65,52,3
452,37,199,36,93,7,99,63
452,6,76,89,88,31,33,14
452,30,49,71,32,52,33,17
453,19,199,40,29,94,56,97
453,40,194,12,16,79,65,12
453,16,91,26,61,73,81,44
454,44,135,38,61,82,38,96
454,21,191,5,91,12,62,95
454,37,199,37,65,16,20,5
455,4,113,55,89,11,52,34
455,48,146,82,75,84,55,20
455,25,103,62,83,57,32,79
456,23,137,2,79,4,55,85
456,11,88,32,16,48,34,100
456,35,21,26,16,75,100,27
457,32,75,92,77,38,94,74
457,39,180,90,44,15,34,40
457,10,61,7,89,31,57,67
458,13,76,90,87,20,11,56
458,1,102,86,72,19,74,96
458,39,180,52,61,75,58,68
459,23,137,72,48,19,79,16
459,6,76,60,89,44,4,61
459,34,80,92,87,95,9,87
460,30,49,61,66,97,12,76
460,26,54,19,55,7,85,73
460,11,88,93,24,35,68,73
461,39,180,55,52,12,84,73
461,31,83,94,0,3,30,56
461,4,113,5,47,20,64,37
462,11,88,58,38,14,62,36
462,1,102,26,50,64,54,4
462,19,199,4,97,3,54,73
463,1,102,21,22,26,97,55
463,23,137,89,52,95,30,93
463,21,191,39,45,50,55,68
464,24,62,18,73,11,14,46
464,4,113,94,60,8,61,56
464,16,91,31,77,4,47,32
465,13,76,92,88,20,12,18
465,3,153,4,28,11,16,89
465,2,86,18,63,60,38,37
466,21,191,37,59,85,40,31
466,19,199,95,11,91,50,85
466,2,86,82,100,52,72,87
467,29,159,28,69,4,18,1
467,5,70,83,57,40,82,39
467,31,83,22,68,85,9,84
468,49,148,3,44,62,29,90
468,2,86,76,63,52,34,72
468,35,21,93,27,11,15,53
469,37,199,40,86,52,43,50
469,13,76,36,34,37,32,96
469,29,159,19,15,72,46,81
470,6,76,10,12,11,68,35
470,39,180,21,57,39,28,13
470,9,172,83,14,4,15,62
471,38,159,16,20,56,42,33
471,36,201,96,74,28,40,77
471,26,54,25,33,33,59,24
472,3,153,28,10,56,29,45
472,36,201,40,47,90,24,86
472,10,61,70,73,92,9,20
473,49,148,30,81,58,43,44
473,39,180,8,75,100,59,57
473,18,159,35,86,65,29,64
474,47,122,32,23,49,29,52
474,15,126,51,58,1,20,1
474,21,191,7,94,74,42,49
475,13,76,3,38,32,76,29
475,50,70,39,61,28,98,82
475,29,159,39,19,16,81,14
476,45,120,41,9,48,74,52
476,27,92,56,68,48,39,36
476,48,146,37,96,87,88,36
477,29,159,9,78,83,17,63
477,48,146,59,78,17,83,13
477,16,91,77,46,27,90,93
478,18,159,94,27,63,23,84
478,37,199,28,81,56,81,84
478,3,153,43,37,65,66,37
479,34,80,6,40,88,72,82
479,16,91,35,60,60,45,79
479,45,120,60,97,28,42,6
480,47,122,65,58,7,54,88
480,13,76,40,89,52,57,85
480,48,146,37,68,36,22,79
481,36,201,37,16,26,66,15
481,38,159,12,100,25,0,44
481,50,70,97,44,55,84,16
482,39,180,92,1,44,61,67
482,43,138,62,73,91,9,5
482,12,156,54,48,37,77,49
483,8,44,32,66,88,33,47
483,10,61,15,74,39,100,78
483,17,180,94,55,100,41,56
484,45,120,71,26,27,39,67
484,18,159,23,69,97,85,95
484,25,103,90,96,89,35,85
485,36,201,27,84,28,46,11
485,30,49,87,35,58,9,2
485,37,199,91,99,45,63,19
486,21,191,45,49,67,49,0
486,27,92,1,60,85,15,30
486,29,159,81,84,97,49,38
487,6,76,11,10,59,93,42
487,38,159,99,13,20,59,40
487,21,191,51,34,17,73,8
488,44,135,31,50,36,100,17
488,27,92,15,11,33,11,58
488,48,146,43,46,33,49,99
489,12,156,60,59,86,61,86
489,21,191,30,88,61,93,99
489,20,35,41,70,88,39,16
490,29,159,25,47,30,30,20
490,2,86,48,63,79,49,30
490,28,134,62,51,12,29,14
491,42,57,20,4,40,97,46
491,43,138,41,12,79,91,12
491,4,113,64,9,45,71,52
492,18,159,100,20,83,54,68
492,44,135,64,72,15,85,53
492,36,201,17,45,93,54,25
493,16,91,31,52,49,93,93
493,41,168,90,74,38,41,21
493,34,80,62,22,64,5,99
494,28,134,19,19,17,51,32
494,45,120,59,92,45,67,45
494,27,92,2,64,96,48,91
495,33,136,80,66,77,66,94
495,27,92,84,78,42,70,67
495,21,191,81,48,81,19,81
496,49,148,98,75,49,57,38
496,50,70,92,36,82,57,9
496,31,83,96,74,56,82,43
497,19,199,50,97,96,48,83
497,21,191,61,15,86,76,44
497,5,70,57,87,30,42,99
498,10,61,90,64,2,1,54
498,6,76,97,84,51,6,54
498,2,86,50,14,36,80,5
499,31,83,0,93,27,65,94
499,49,148,11,42,36,61,12
499,43,138,77,93,45,61,27
500,17,180,23,50,94,59,8
500,16,91,23,35,60,17,28
500,20,35,56,19,55,38,51
501,11,88,67,64,84,52,28
501,28,134,33,55,20,14,78
501,4,113,12,58,59,21,84
502,42,57,5,35,61,80,27
502,41,168,3,65,69,81,49
502,14,219,13,90,10,35,15
503,16,91,30,72,70,91,100
503,6,76,10,66,56,8,24
503,29,159,89,56,89,98,53
504,9,172,53,50,79,94,100
504,44,135,76,32,36,56,51
504,18,159,94,55,13,69,26
505,15,126,44,17,64,9,20
505,46,187,21,55,63,22,40
505,11,88,88,26,41,62,21
506,45,120,76,23,56,90,85
506,40,194,16,39,23,34,62
506,47,122,30,17,45,50,74
507,49,148,78,64,72,28,14
507,10,61,53,52,46,75,99
507,20,35,33,59,44,35,100
508,45,120,49,64,28,17,18
508,35,21,17,44,23,33,97
508,47,122,45,53,73,76,58
509,37,199,89,93,28,87,1
509,44,135,45,63,39,52,35
509,30,49,97,63,45,99,65
510,30,49,1,56,26,27,36
510,48,146,68,49,81,80,98
