id,name,description,startDate,endDate,domainId,trainerId
21,FULL_STACK Training 745,This training focuses on FULL_STACK skills and knowledge.,2024-03-17,2024-04-16,3,108
22,MACHINE_LEARNING Training 248,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-01-22,2024-02-22,2,84
23,FULL_STACK Training 39,This training focuses on FULL_STACK skills and knowledge.,2024-03-07,2024-03-27,3,143
24,FULL_STACK Training 814,This training focuses on FULL_STACK skills and knowledge.,2024-03-13,2024-04-01,3,113
25,MACHINE_LEARNING Training 651,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-06-08,2024-06-25,2,103
26,DATA_ENGINEERING Training 321,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-09-11,2024-11-06,1,68
27,MACHINE_LEARNING Training 612,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-09-22,2024-10-14,2,58
28,DATA_ENGINEERING Training 738,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-06-04,2024-06-23,1,213
29,DATA_ENGINEERING Training 99,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-05-05,2024-07-01,1,129
30,FULL_STACK Training 385,This training focuses on FULL_STACK skills and knowledge.,2024-07-26,2024-08-29,3,28
31,FULL_STACK Training 979,This training focuses on FULL_STACK skills and knowledge.,2024-07-09,2024-08-23,3,152
32,MACHINE_LEARNING Training 847,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-07-25,2024-09-16,2,145
33,DATA_ENGINEERING Training 451,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-07-04,2024-08-25,1,204
34,DATA_ENGINEERING Training 160,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-03-03,2024-05-02,1,200
35,DATA_ENGINEERING Training 824,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-07-29,2024-08-12,1,73
36,MACHINE_LEARNING Training 194,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-04-28,2024-05-11,2,90
37,DATA_ENGINEERING Training 146,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-08-28,2024-09-18,1,162
38,MACHINE_LEARNING Training 673,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-08-13,2024-09-09,2,161
39,FULL_STACK Training 903,This training focuses on FULL_STACK skills and knowledge.,2024-07-17,2024-09-06,3,157
40,MACHINE_LEARNING Training 29,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-03-21,2024-04-10,2,140
41,FULL_STACK Training 355,This training focuses on FULL_STACK skills and knowledge.,2024-08-13,2024-09-22,3,146
42,MACHINE_LEARNING Training 108,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-01-29,2024-03-12,2,148
43,DATA_ENGINEERING Training 41,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-03-21,2024-04-15,1,205
44,DATA_ENGINEERING Training 686,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-06-16,2024-07-27,1,132
45,DATA_ENGINEERING Training 396,This training focuses on DATA_ENGINEERING skills and knowledge.,2024-09-19,2024-09-30,1,38
46,MACHINE_LEARNING Training 357,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-05-20,2024-06-13,2,49
47,FULL_STACK Training 242,This training focuses on FULL_STACK skills and knowledge.,2024-01-26,2024-03-12,3,35
48,FULL_STACK Training 176,This training focuses on FULL_STACK skills and knowledge.,2024-05-04,2024-06-24,3,134
49,MACHINE_LEARNING Training 233,This training focuses on MACHINE_LEARNING skills and knowledge.,2024-07-12,2024-08-16,2,50
50,FULL_STACK Training 647,This training focuses on FULL_STACK skills and knowledge.,2024-08-22,2024-09-17,3,84
