value,trainingId,employeeId,trainerId
71,17,381,84
91,7,381,109
91,8,381,84
0,12,382,13
30,20,382,98
96,11,382,39
58,12,383,13
0,7,383,109
58,15,383,101
54,7,384,109
40,11,384,39
75,10,384,106
39,6,385,73
74,20,385,98
97,2,385,11
34,5,386,42
74,18,386,72
89,14,386,40
19,4,387,90
38,18,387,72
28,19,387,20
94,18,388,72
12,3,388,102
23,1,388,92
45,5,389,42
35,16,389,41
91,20,389,98
82,15,390,101
38,5,390,42
23,20,390,98
9,7,391,109
56,6,391,73
0,10,391,106
73,4,392,90
39,5,392,42
76,2,392,11
22,1,393,92
100,20,393,98
0,8,393,84
20,15,394,101
28,9,394,63
8,2,394,11
30,4,395,90
61,19,395,20
9,13,395,21
23,16,396,41
30,8,396,84
70,18,396,72
21,10,397,106
6,8,397,84
2,7,397,109
14,14,398,40
36,20,398,98
1,15,398,101
34,17,399,84
70,10,399,106
71,13,399,21
95,11,400,39
88,18,400,72
62,6,400,73
6,15,401,101
13,9,401,63
13,1,401,92
25,9,402,63
61,16,402,41
86,13,402,21
61,4,403,90
99,19,403,20
52,11,403,39
28,17,404,84
54,4,404,90
11,19,404,20
39,14,405,40
83,16,405,41
74,5,405,42
84,13,406,21
67,17,406,84
30,9,406,63
49,7,407,109
42,1,407,92
33,16,407,41
16,6,408,73
29,10,408,106
41,12,408,13
4,10,409,106
95,4,409,90
79,8,409,84
27,1,410,92
10,6,410,73
97,18,410,72
73,2,411,11
48,13,411,21
25,11,411,39
26,2,412,11
22,8,412,84
97,14,412,40
35,8,413,84
56,2,413,11
65,11,413,39
41,4,414,90
1,15,414,101
32,7,414,109
62,7,415,109
2,14,415,40
12,2,415,11
62,6,416,73
99,13,416,21
20,7,416,109
65,20,417,98
83,11,417,39
29,15,417,101
72,2,418,11
71,13,418,21
8,18,418,72
40,13,419,21
74,12,419,13
28,14,419,40
13,1,420,92
51,6,420,73
35,7,420,109
89,15,421,101
47,9,421,63
10,17,421,84
59,3,422,102
63,18,422,72
100,4,422,90
75,8,423,84
26,1,423,92
43,15,423,101
1,6,424,73
80,12,424,13
17,13,424,21
36,1,425,92
37,5,425,42
41,20,425,98
18,18,426,72
83,1,426,92
5,4,426,90
77,18,427,72
4,2,427,11
12,12,427,13
28,7,428,109
57,12,428,13
58,16,428,41
96,10,429,106
44,14,429,40
91,6,429,73
55,20,430,98
75,7,430,109
35,16,430,41
41,2,431,11
55,7,431,109
36,10,431,106
0,13,432,21
94,11,432,39
22,3,432,102
7,19,433,20
9,1,433,92
14,20,433,98
16,3,434,102
1,9,434,63
5,13,434,21
61,13,435,21
69,14,435,40
93,1,435,92
75,6,436,73
31,5,436,42
78,17,436,84
19,16,437,41
72,3,437,102
46,2,437,11
22,13,438,21
0,18,438,72
29,12,438,13
5,4,439,90
94,17,439,84
6,10,439,106
51,10,440,106
38,2,440,11
75,17,440,84
1,4,441,90
15,6,441,73
20,5,441,42
95,6,442,73
24,12,442,13
55,5,442,42
87,10,443,106
74,11,443,39
88,20,443,98
73,6,444,73
98,8,444,84
48,5,444,42
81,6,445,73
50,8,445,84
29,2,445,11
75,4,446,90
14,20,446,98
76,15,446,101
46,9,447,63
72,13,447,21
60,6,447,73
86,20,448,98
30,7,448,109
13,9,448,63
64,1,449,92
1,12,449,13
40,11,449,39
68,4,450,90
15,7,450,109
27,15,450,101
5,6,451,73
27,5,451,42
83,12,451,13
13,2,452,11
62,3,452,102
87,1,452,92
92,12,453,13
84,7,453,109
64,14,453,40
27,2,454,11
23,5,454,42
76,7,454,109
79,16,455,41
45,8,455,84
51,17,455,84
50,10,456,106
56,1,456,92
71,18,456,72
83,8,457,84
96,13,457,21
61,11,457,39
87,3,458,102
95,2,458,11
21,5,458,42
39,4,459,90
92,16,459,41
13,10,459,106
35,20,460,98
1,1,460,92
74,2,460,11
37,7,461,109
44,15,461,101
61,5,461,42
52,2,462,11
26,14,462,40
3,1,462,92
48,2,463,11
81,5,463,42
23,9,463,63
33,6,464,73
89,1,464,92
39,15,464,101
49,7,465,109
95,11,465,39
84,12,465,13
78,3,466,102
77,9,466,63
13,17,466,84
66,15,467,101
51,5,467,42
88,11,467,39
46,2,468,11
78,14,468,40
79,8,468,84
77,18,469,72
82,14,469,40
26,17,469,84
28,3,470,102
71,9,470,63
79,6,470,73
75,12,471,13
76,19,471,20
20,15,471,101
1,8,472,84
55,6,472,73
66,1,472,92
98,20,473,98
94,5,473,42
81,1,473,92
25,5,474,42
76,13,474,21
65,4,474,90
94,17,475,84
53,18,475,72
59,6,475,73
35,20,476,98
66,5,476,42
2,19,476,20
45,10,477,106
36,3,477,102
59,5,477,42
85,3,478,102
47,8,478,84
21,9,478,63
88,12,479,13
22,5,479,42
13,16,479,41
74,20,480,98
28,9,480,63
58,2,480,11
9,11,481,39
51,18,481,72
87,15,481,101
33,4,482,90
19,20,482,98
81,2,482,11
43,13,483,21
47,5,483,42
95,16,483,41
24,17,484,84
61,7,484,109
51,20,484,98
99,5,485,42
72,15,485,101
25,6,485,73
78,2,486,11
100,13,486,21
10,16,486,41
56,13,487,21
41,12,487,13
78,18,487,72
83,15,488,101
83,9,488,63
66,4,488,90
70,1,489,92
61,10,489,106
2,18,489,72
89,2,490,11
89,16,490,41
49,18,490,72
35,12,491,13
73,9,491,63
13,5,491,42
7,7,492,109
92,1,492,92
14,2,492,11
50,18,493,72
68,2,493,11
0,7,493,109
58,6,494,73
63,5,494,42
25,8,494,84
38,3,495,102
63,16,495,41
56,1,495,92
74,20,496,98
33,7,496,109
81,4,496,90
75,11,497,39
95,4,497,90
68,20,497,98
75,17,498,84
19,4,498,90
72,18,498,72
49,16,499,41
43,13,499,21
50,12,499,13
99,14,500,40
82,5,500,42
10,19,500,20
78,15,501,101
69,7,501,109
78,9,501,63
26,4,502,90
84,12,502,13
95,8,502,84
67,11,503,39
70,12,503,13
93,8,503,84
52,17,504,84
45,4,504,90
55,3,504,102
90,18,505,72
50,14,505,40
91,20,505,98
98,14,506,40
38,7,506,109
70,1,506,92
12,18,507,72
18,19,507,20
12,16,507,41
53,5,508,42
84,16,508,41
35,18,508,72
36,18,509,72
77,17,509,84
23,11,509,39
28,2,510,11
74,7,510,109
64,4,510,90
85,11,511,39
44,12,511,13
100,14,511,40
33,6,512,73
32,11,512,39
38,4,512,90
33,16,513,41
40,7,513,109
1,19,513,20
30,8,514,84
88,18,514,72
29,10,514,106
61,2,515,11
5,7,515,109
92,8,515,84
27,14,516,40
8,15,516,101
3,6,516,73
77,1,517,92
67,15,517,101
73,20,517,98
15,17,518,84
1,20,518,98
41,18,518,72
0,8,519,84
26,9,519,63
70,20,519,98
2,9,520,63
21,15,520,101
72,16,520,41
9,14,521,40
11,7,521,109
98,9,521,63
79,1,522,92
80,3,522,102
10,18,522,72
28,16,523,41
73,10,523,106
7,20,523,98
57,13,524,21
83,17,524,84
32,7,524,109
73,15,525,101
48,9,525,63
48,1,525,92
86,12,526,13
23,14,526,40
99,11,526,39
44,4,527,90
80,14,527,40
19,12,527,13
39,19,528,20
90,1,528,92
51,6,528,73
35,14,529,40
58,8,529,84
64,12,529,13
31,7,530,109
40,6,530,73
10,13,530,21
40,18,531,72
73,12,531,13
28,3,531,102
14,16,532,41
27,10,532,106
80,19,532,20
75,17,533,84
92,8,533,84
68,12,533,13
64,9,534,63
49,20,534,98
70,19,534,20
24,4,535,90
85,13,535,21
0,1,535,92
68,14,536,40
93,7,536,109
32,6,536,73
78,1,537,92
0,20,537,98
74,7,537,109
46,3,538,102
6,18,538,72
49,7,538,109
76,15,539,101
35,11,539,39
53,16,539,41
47,9,540,63
30,10,540,106
10,6,540,73
33,2,541,11
24,6,541,73
67,5,541,42
61,10,542,106
72,12,542,13
81,2,542,11
36,10,543,106
67,7,543,109
82,15,543,101
16,6,544,73
0,19,544,20
77,17,544,84
58,4,545,90
74,16,545,41
84,6,545,73
1,3,546,102
84,1,546,92
51,14,546,40
32,11,547,39
58,5,547,42
92,20,547,98
15,14,548,40
12,16,548,41
46,5,548,42
54,2,549,11
66,16,549,41
86,4,549,90
83,2,550,11
62,4,550,90
96,12,550,13
89,16,551,41
41,18,551,72
98,20,551,98
50,12,552,13
67,15,552,101
56,9,552,63
51,16,553,41
38,19,553,20
25,17,553,84
33,12,554,13
93,20,554,98
71,2,554,11
2,4,555,90
88,7,555,109
15,8,555,84
16,14,556,40
29,1,556,92
43,11,556,39
28,4,557,90
78,9,557,63
62,16,557,41
92,5,558,42
57,19,558,20
15,2,558,11
27,16,559,41
90,7,559,109
63,14,559,40
37,17,560,84
97,12,560,13
65,10,560,106
81,12,561,13
89,19,561,20
73,3,561,102
54,12,562,13
94,4,562,90
11,13,562,21
84,16,563,41
1,13,563,21
48,14,563,40
39,4,564,90
66,17,564,84
30,16,564,41
8,16,565,41
49,10,565,106
52,12,565,13
92,14,566,40
80,1,566,92
7,6,566,73
50,12,567,13
54,19,567,20
34,1,567,92
85,10,568,106
61,16,568,41
12,7,568,109
75,6,569,73
74,2,569,11
67,13,569,21
40,19,570,20
14,8,570,84
22,20,570,98
70,11,571,39
67,18,571,72
63,15,571,101
31,10,572,106
25,3,572,102
56,5,572,42
34,11,573,39
41,14,573,40
10,6,573,73
25,1,574,92
50,17,574,84
50,9,574,63
11,13,575,21
39,5,575,42
36,11,575,39
69,8,576,84
64,20,576,98
65,16,576,41
20,16,577,41
57,2,577,11
46,13,577,21
30,8,578,84
23,13,578,21
35,7,578,109
96,13,579,21
72,2,579,11
82,18,579,72
75,1,580,92
80,12,580,13
3,4,580,90
41,13,581,21
89,2,581,11
26,20,581,98
89,13,582,21
91,15,582,101
71,9,582,63
56,19,583,20
63,2,583,11
49,15,583,101
57,15,584,101
23,18,584,72
63,8,584,84
41,15,585,101
19,2,585,11
80,14,585,40
98,19,586,20
52,16,586,41
42,8,586,84
5,8,587,84
24,19,587,20
37,1,587,92
25,8,588,84
59,19,588,20
5,2,588,11
59,5,589,42
86,14,589,40
97,18,589,72
56,3,590,102
39,12,590,13
59,10,590,106
56,20,591,98
63,2,591,11
63,13,591,21
66,14,592,40
52,18,592,72
7,17,592,84
13,4,593,90
68,19,593,20
28,15,593,101
68,4,594,90
1,10,594,106
1,12,594,13
21,16,595,41
25,1,595,92
30,9,595,63
17,20,596,98
87,8,596,84
82,15,596,101
73,19,597,20
75,18,597,72
56,6,597,73
79,1,598,92
57,9,598,63
25,19,598,20
80,15,599,101
61,10,599,106
14,17,599,84
41,5,600,42
59,7,600,109
74,11,600,39
78,6,601,73
7,4,601,90
47,13,601,21
63,3,602,102
9,6,602,73
26,7,602,109
72,19,603,20
34,5,603,42
71,11,603,39
37,8,604,84
13,11,604,39
62,1,604,92
7,9,605,63
32,16,605,41
100,14,605,40
5,3,606,102
48,1,606,92
8,11,606,39
46,15,607,101
48,6,607,73
39,8,607,84
60,14,608,40
81,13,608,21
29,1,608,92
54,18,609,72
30,20,609,98
85,12,609,13
7,6,610,73
99,11,610,39
8,5,610,42
94,12,611,13
26,17,611,84
40,13,611,21
15,2,612,11
88,17,612,84
90,9,612,63
67,6,613,73
51,15,613,101
47,3,613,102
38,8,614,84
16,1,614,92
38,18,614,72
85,15,615,101
11,5,615,42
4,6,615,73
23,6,616,73
5,4,616,90
1,16,616,41
31,17,617,84
81,19,617,20
66,11,617,39
16,14,618,40
22,3,618,102
42,9,618,63
20,14,619,40
64,1,619,92
98,5,619,42
9,3,620,102
46,10,620,106
95,2,620,11
84,14,621,40
16,18,621,72
7,13,621,21
78,4,622,90
55,3,622,102
40,2,622,11
42,13,623,21
77,5,623,42
26,3,623,102
87,8,624,84
67,12,624,13
90,1,624,92
85,20,625,98
22,15,625,101
9,11,625,39
5,4,626,90
49,9,626,63
76,11,626,39
21,2,627,11
29,12,627,13
3,11,627,39
64,17,628,84
93,2,628,11
25,15,628,101
30,10,629,106
80,17,629,84
80,6,629,73
45,2,630,11
96,4,630,90
92,6,630,73
6,9,631,63
88,18,631,72
40,13,631,21
41,10,632,106
97,18,632,72
85,5,632,42
35,3,633,102
38,1,633,92
47,7,633,109
39,9,634,63
70,12,634,13
93,13,634,21
30,8,635,84
43,14,635,40
93,9,635,63
56,20,636,98
29,7,636,109
87,5,636,42
53,7,637,109
78,6,637,73
5,19,637,20
7,19,638,20
6,13,638,21
93,14,638,40
5,2,639,11
84,5,639,42
58,10,639,106
74,7,640,109
6,11,640,39
34,8,640,84
50,10,641,106
14,20,641,98
25,12,641,13
17,12,642,13
41,8,642,84
37,11,642,39
94,12,643,13
19,11,643,39
24,13,643,21
77,18,644,72
6,10,644,106
19,8,644,84
56,9,645,63
2,17,645,84
2,3,645,102
11,1,646,92
85,16,646,41
86,10,646,106
97,15,647,101
60,20,647,98
100,4,647,90
56,13,648,21
99,8,648,84
16,17,648,84
1,8,649,84
56,5,649,42
88,1,649,92
55,2,650,11
69,10,650,106
66,7,650,109
77,17,651,84
2,2,651,11
86,11,651,39
62,16,652,41
5,14,652,40
24,6,652,73
71,6,653,73
10,4,653,90
89,8,653,84
3,7,654,109
22,14,654,40
45,16,654,41
66,4,655,90
77,7,655,109
34,13,655,21
18,2,656,11
33,11,656,39
33,17,656,84
69,19,657,20
86,1,657,92
61,15,657,101
85,15,658,101
69,8,658,84
11,3,658,102
32,7,659,109
97,2,659,11
30,4,659,90
26,7,660,109
66,3,660,102
21,12,660,13
37,10,661,106
31,3,661,102
41,15,661,101
78,13,662,21
80,8,662,84
45,9,662,63
61,10,663,106
40,13,663,21
47,4,663,90
5,15,664,101
56,10,664,106
30,14,664,40
75,14,665,40
70,6,665,73
13,15,665,101
82,20,666,98
89,18,666,72
96,14,666,40
58,3,667,102
0,14,667,40
42,8,667,84
16,1,668,92
16,2,668,11
15,6,668,73
63,1,669,92
34,16,669,41
92,8,669,84
61,5,670,42
55,12,670,13
71,11,670,39
73,8,671,84
33,2,671,11
34,17,671,84
41,18,672,72
10,4,672,90
38,5,672,42
84,8,673,84
60,1,673,92
46,9,673,63
30,1,674,92
13,8,674,84
71,7,674,109
73,12,675,13
31,11,675,39
63,1,675,92
72,5,676,42
92,1,676,92
14,18,676,72
95,14,677,40
50,2,677,11
34,16,677,41
73,4,678,90
44,19,678,20
32,15,678,101
45,10,679,106
82,7,679,109
88,13,679,21
34,14,680,40
87,18,680,72
67,11,680,39
14,18,681,72
77,7,681,109
48,15,681,101
91,5,682,42
38,7,682,109
84,12,682,13
100,7,683,109
71,1,683,92
71,5,683,42
37,19,684,20
43,7,684,109
12,4,684,90
85,10,685,106
79,8,685,84
25,19,685,20
46,17,686,84
76,12,686,13
24,14,686,40
88,16,687,41
2,4,687,90
76,3,687,102
28,8,688,84
67,6,688,73
84,3,688,102
77,6,689,73
76,17,689,84
17,16,689,41
21,9,690,63
46,16,690,41
26,4,690,90
28,9,691,63
46,16,691,41
36,4,691,90
65,20,692,98
94,7,692,109
