employeeId,average_score,training_completed,performance
455,44.33,3,Poor
456,70.67,3,Average
457,60.33,3,Average
458,73.33,3,Average
459,54.67,3,Average
460,74.0,3,Average
461,55.33,3,Average
462,37.67,3,Poor
463,72.0,3,Average
464,44.67,3,Poor
465,48.0,3,Poor
466,67.67,3,Average
467,41.33,3,Poor
468,71.67,3,Average
469,75.67,3,Average
470,36.67,3,Poor
471,44.67,3,Poor
472,50.33,3,Average
473,55.0,3,Average
474,34.0,3,Poor
475,41.67,3,Poor
476,41.33,3,Poor
477,56.33,3,Average
478,68.33,3,Average
479,55.67,3,Average
480,84.0,3,Excellent
481,25.0,3,Poor
482,40.33,3,Poor
483,60.33,3,Average
484,82.33,3,Excellent
485,10.67,3,Poor
486,22.67,3,Poor
487,30.0,3,Poor
488,58.0,3,Average
489,67.0,3,Average
490,21.33,3,Poor
491,36.67,3,Poor
492,48.67,3,Poor
493,71.0,3,Average
494,56.0,3,Average
495,80.67,3,Excellent
496,30.0,3,Poor
497,75.33,3,Average
498,37.67,3,Poor
499,44.33,3,Poor
500,29.0,3,Poor
501,63.33,3,Average
502,30.33,3,Poor
503,59.0,3,Average
504,59.0,3,Average
505,27.0,3,Poor
506,73.67,3,Average
507,71.0,3,Average
508,57.67,3,Average
509,33.67,3,Poor
510,65.67,3,Average
511,48.33,3,Poor
512,27.33,3,Poor
513,44.0,3,Poor
514,37.0,3,Poor
515,49.67,3,Poor
516,56.0,3,Average
517,39.67,3,Poor
518,45.33,3,Poor
519,10.33,3,Poor
520,65.0,3,Average
521,38.0,3,Poor
522,77.0,3,Average
523,59.67,3,Average
524,71.33,3,Average
525,24.0,3,Poor
526,75.67,3,Average
527,77.67,3,Average
528,49.0,3,Poor
529,40.0,3,Poor
530,31.33,3,Poor
531,48.0,3,Poor
532,69.67,3,Average
533,40.0,3,Poor
534,40.0,3,Poor
535,49.0,3,Poor
536,86.67,3,Excellent
537,49.67,3,Poor
538,58.33,3,Average
539,75.0,3,Average
540,24.33,3,Poor
541,7.0,3,Poor
542,73.0,3,Average
543,72.0,3,Average
544,49.67,3,Poor
545,46.67,3,Poor
546,66.0,3,Average
547,25.0,3,Poor
548,36.0,3,Poor
549,70.0,3,Average
550,58.33,3,Average
551,37.33,3,Poor
552,51.0,3,Average
553,51.67,3,Average
554,49.67,3,Poor
555,40.0,3,Poor
556,38.67,3,Poor
557,36.67,3,Poor
558,29.33,3,Poor
559,76.67,3,Average
560,82.67,3,Excellent
561,37.33,3,Poor
562,71.67,3,Average
563,38.0,3,Poor
564,46.67,3,Poor
565,46.0,3,Poor
566,49.33,3,Poor
567,72.0,3,Average
568,56.33,3,Average
569,49.33,3,Poor
570,93.33,3,Excellent
571,50.0,3,Average
572,27.67,3,Poor
573,62.67,3,Average
574,69.33,3,Average
575,91.0,3,Excellent
576,58.33,3,Average
577,49.33,3,Poor
578,42.33,3,Poor
579,56.67,3,Average
580,52.67,3,Average
581,64.67,3,Average
582,35.0,3,Poor
583,25.33,3,Poor
584,67.0,3,Average
585,36.67,3,Poor
586,70.33,3,Average
587,79.0,3,Average
588,51.33,3,Average
589,63.0,3,Average
590,50.33,3,Average
591,64.0,3,Average
592,3.0,3,Poor
593,60.33,3,Average
594,36.67,3,Poor
595,69.33,3,Average
596,22.0,3,Poor
597,22.0,3,Poor
598,72.0,3,Average
599,53.0,3,Average
600,38.0,3,Poor
601,15.33,3,Poor
602,31.33,3,Poor
603,47.67,3,Poor
604,85.67,3,Excellent
605,73.0,3,Average
606,54.0,3,Average
607,52.67,3,Average
608,86.67,3,Excellent
609,41.67,3,Poor
610,71.0,3,Average
611,54.33,3,Average
612,46.67,3,Poor
613,26.33,3,Poor
614,20.0,3,Poor
615,22.0,3,Poor
616,45.33,3,Poor
617,21.0,3,Poor
618,73.67,3,Average
619,72.33,3,Average
620,35.0,3,Poor
621,46.0,3,Poor
622,27.33,3,Poor
623,36.0,3,Poor
624,52.0,3,Average
625,53.67,3,Average
626,78.33,3,Average
627,78.67,3,Average
628,44.67,3,Poor
629,70.67,3,Average
630,41.33,3,Poor
631,42.0,3,Poor
632,56.67,3,Average
633,32.67,3,Poor
634,51.0,3,Average
635,60.0,3,Average
636,73.33,3,Average
637,60.0,3,Average
638,39.0,3,Poor
639,35.33,3,Poor
640,67.0,3,Average
641,51.33,3,Average
642,47.0,3,Poor
643,54.33,3,Average
644,32.0,3,Poor
645,37.33,3,Poor
646,35.33,3,Poor
647,46.0,3,Poor
648,55.33,3,Average
649,44.33,3,Poor
650,68.33,3,Average
651,37.0,3,Poor
652,86.33,3,Excellent
653,55.33,3,Average
654,43.67,3,Poor
655,56.67,3,Average
656,83.33,3,Excellent
657,38.67,3,Poor
658,28.67,3,Poor
659,49.33,3,Poor
660,65.67,3,Average
661,62.33,3,Average
662,47.33,3,Poor
663,31.33,3,Poor
664,40.33,3,Poor
665,39.67,3,Poor
666,57.67,3,Average
667,43.33,3,Poor
668,58.67,3,Average
669,30.33,3,Poor
670,29.33,3,Poor
671,56.67,3,Average
672,40.67,3,Poor
673,58.67,3,Average
674,48.67,3,Poor
675,38.67,3,Poor
676,52.33,3,Average
677,64.67,3,Average
678,82.33,3,Excellent
679,65.67,3,Average
680,60.33,3,Average
681,78.67,3,Average
682,36.33,3,Poor
683,55.0,3,Average
684,30.33,3,Poor
685,31.0,3,Poor
686,34.33,3,Poor
687,52.0,3,Average
688,42.33,3,Poor
689,21.33,3,Poor
690,38.33,3,Poor
691,40.0,3,Poor
692,70.0,3,Average
693,45.33,3,Poor
694,31.0,3,Poor
695,59.33,3,Average
696,84.67,3,Excellent
697,44.33,3,Poor
698,48.33,3,Poor
699,55.0,3,Average
700,58.0,3,Average
701,45.67,3,Poor
702,71.33,3,Average
703,49.67,3,Poor
704,64.67,3,Average
705,42.33,3,Poor
706,33.67,3,Poor
707,56.67,3,Average
708,54.67,3,Average
709,40.0,3,Poor
710,64.0,3,Average
711,50.0,3,Average
712,23.33,3,Poor
713,51.33,3,Average
714,57.33,3,Average
715,68.67,3,Average
716,40.67,3,Poor
717,30.33,3,Poor
718,45.67,3,Poor
719,40.67,3,Poor
720,51.0,3,Average
721,36.0,3,Poor
722,33.67,3,Poor
723,55.33,3,Average
724,43.0,3,Poor
725,41.33,3,Poor
726,46.33,3,Poor
727,75.0,3,Average
728,41.33,3,Poor
729,19.67,3,Poor
730,26.67,3,Poor
731,66.33,3,Average
732,51.0,3,Average
733,66.0,3,Average
734,69.33,3,Average
735,43.0,3,Poor
736,36.0,3,Poor
737,58.0,3,Average
738,66.33,3,Average
739,47.67,3,Poor
740,75.33,3,Average
741,59.67,3,Average
742,13.33,3,Poor
743,37.67,3,Poor
744,21.67,3,Poor
745,86.0,3,Excellent
746,68.0,3,Average
747,16.33,3,Poor
748,45.0,3,Poor
749,83.0,3,Excellent
750,34.67,3,Poor
751,72.0,3,Average
752,68.0,3,Average
753,87.0,3,Excellent
754,65.67,3,Average
755,77.0,3,Average
756,45.33,3,Poor
757,12.67,3,Poor
758,60.67,3,Average
759,39.33,3,Poor
760,40.67,3,Poor
761,8.33,3,Poor
762,67.67,3,Average
763,35.67,3,Poor
764,61.33,3,Average
765,55.67,3,Average
766,58.33,3,Average
767,54.0,3,Average
768,31.67,3,Poor
769,22.67,3,Poor
770,43.0,3,Poor
771,47.0,3,Poor
772,21.67,3,Poor
773,36.67,3,Poor
774,54.33,3,Average
775,49.67,3,Poor
776,64.67,3,Average
777,41.33,3,Poor
778,53.0,3,Average
779,68.67,3,Average
780,36.67,3,Poor
781,66.33,3,Average
782,74.33,3,Average
783,58.0,3,Average
784,35.33,3,Poor
785,53.67,3,Average
786,42.67,3,Poor
787,17.33,3,Poor
788,71.33,3,Average
789,40.33,3,Poor
790,37.0,3,Poor
791,50.67,3,Average
792,60.33,3,Average
793,27.0,3,Poor
794,58.67,3,Average
795,31.0,3,Poor
796,47.33,3,Poor
797,63.67,3,Average
798,71.67,3,Average
799,36.67,3,Poor
800,35.67,3,Poor
801,78.0,3,Average
802,57.33,3,Average
803,65.0,3,Average
804,76.67,3,Average
805,37.67,3,Poor
806,65.67,3,Average
807,68.67,3,Average
808,66.33,3,Average
809,55.67,3,Average
810,64.0,3,Average
811,58.33,3,Average
812,52.0,3,Average
813,44.0,3,Poor
814,37.67,3,Poor
815,81.67,3,Excellent
816,45.0,3,Poor
817,75.0,3,Average
818,38.67,3,Poor
819,37.67,3,Poor
820,55.33,3,Average
821,92.67,3,Excellent
822,75.67,3,Average
823,26.33,3,Poor
824,58.33,3,Average
825,82.67,3,Excellent
826,37.33,3,Poor
827,46.0,3,Poor
828,75.67,3,Average
829,63.0,3,Average
830,53.0,3,Average
831,49.33,3,Poor
832,51.67,3,Average
833,52.33,3,Average
834,51.0,3,Average
835,35.33,3,Poor
836,57.67,3,Average
837,34.67,3,Poor
838,65.67,3,Average
839,5.67,3,Poor
840,45.33,3,Poor
841,47.0,3,Poor
842,48.0,3,Poor
843,58.0,3,Average
844,51.0,3,Average
845,54.67,3,Average
846,36.33,3,Poor
847,50.67,3,Average
848,41.0,3,Poor
849,54.0,3,Average
850,51.33,3,Average
851,72.0,3,Average
852,72.0,3,Average
853,61.67,3,Average
854,95.33,3,Excellent
855,58.67,3,Average
856,40.67,3,Poor
857,31.0,3,Poor
858,44.33,3,Poor
859,45.67,3,Poor
860,39.33,3,Poor
861,27.0,3,Poor
862,42.33,3,Poor
863,32.33,3,Poor
864,44.67,3,Poor
865,31.67,3,Poor
866,63.33,3,Average
867,35.33,3,Poor
868,33.67,3,Poor
869,57.33,3,Average
870,54.33,3,Average
871,53.0,3,Average
872,27.0,3,Poor
873,16.0,3,Poor
874,34.0,3,Poor
875,61.67,3,Average
876,77.0,3,Average
877,79.67,3,Average
878,35.67,3,Poor
879,50.0,3,Average
880,23.67,3,Poor
881,35.33,3,Poor
882,45.0,3,Poor
883,44.67,3,Poor
884,50.0,3,Average
885,55.33,3,Average
886,57.0,3,Average
887,66.0,3,Average
888,32.67,3,Poor
889,57.33,3,Average
890,60.0,3,Average
891,28.67,3,Poor
892,42.33,3,Poor
893,61.33,3,Average
894,59.0,3,Average
895,46.33,3,Poor
896,63.67,3,Average
897,51.67,3,Average
898,36.0,3,Poor
899,78.0,3,Average
900,68.0,3,Average
901,38.67,3,Poor
902,53.67,3,Average
903,65.67,3,Average
904,24.67,3,Poor
905,24.67,3,Poor
906,47.33,3,Poor
907,32.0,3,Poor
908,57.33,3,Average
909,47.67,3,Poor
910,42.67,3,Poor
911,58.0,3,Average
912,19.33,3,Poor
913,44.0,3,Poor
914,57.0,3,Average
915,60.0,3,Average
916,35.67,3,Poor
917,49.33,3,Poor
918,73.0,3,Average
919,71.67,3,Average
920,45.33,3,Poor
921,44.0,3,Poor
922,42.67,3,Poor
923,38.67,3,Poor
924,57.67,3,Average
925,11.0,3,Poor
926,54.33,3,Average
927,66.33,3,Average
928,21.0,3,Poor
929,49.67,3,Poor
930,51.67,3,Average
931,47.0,3,Poor
932,72.33,3,Average
933,58.33,3,Average
934,75.67,3,Average
935,49.67,3,Poor
936,77.0,3,Average
937,56.0,3,Average
938,33.0,3,Poor
939,87.67,3,Excellent
940,77.0,3,Average
941,64.33,3,Average
942,49.0,3,Poor
943,63.33,3,Average
944,45.0,3,Poor
945,51.0,3,Average
946,46.33,3,Poor
947,60.67,3,Average
948,36.67,3,Poor
949,78.67,3,Average
950,48.0,3,Poor
951,25.0,3,Poor
952,37.0,3,Poor
953,64.0,3,Average
954,69.0,3,Average
955,28.33,3,Poor
956,41.0,3,Poor
957,59.33,3,Average
958,47.0,3,Poor
959,10.67,3,Poor
960,34.67,3,Poor
961,60.0,3,Average
962,55.33,3,Average
963,57.0,3,Average
964,41.33,3,Poor
965,38.67,3,Poor
966,56.0,3,Average
967,10.0,3,Poor
968,42.67,3,Poor
969,96.33,3,Excellent
970,63.0,3,Average
971,86.67,3,Excellent
972,62.33,3,Average
973,68.67,3,Average
974,33.0,3,Poor
975,68.67,3,Average
976,54.67,3,Average
977,42.67,3,Poor
978,49.0,3,Poor
979,50.33,3,Average
980,58.33,3,Average
981,58.33,3,Average
982,33.67,3,Poor
983,71.0,3,Average
984,42.0,3,Poor
985,76.33,3,Average
986,49.33,3,Poor
987,53.67,3,Average
988,65.33,3,Average
989,59.33,3,Average
990,71.33,3,Average
991,37.67,3,Poor
992,48.67,3,Poor
993,68.0,3,Average
994,47.0,3,Poor
995,34.33,3,Poor
996,67.0,3,Average
997,45.0,3,Poor
998,52.0,3,Average
999,79.0,3,Average
1000,46.33,3,Poor
1001,37.33,3,Poor
1002,23.33,3,Poor
1003,49.33,3,Poor
1004,19.0,3,Poor
1005,30.33,3,Poor
1006,32.33,3,Poor
1007,71.33,3,Average
1008,42.33,3,Poor
1009,38.0,3,Poor
1010,55.33,3,Average
1011,83.67,3,Excellent
1012,28.0,3,Poor
1013,38.33,3,Poor
1014,45.33,3,Poor
1015,39.0,3,Poor
1016,47.33,3,Poor
1017,75.33,3,Average
1018,45.67,3,Poor
1019,29.33,3,Poor
1020,17.0,3,Poor
1021,50.33,3,Average
1022,55.67,3,Average
1023,50.67,3,Average
1024,54.33,3,Average
1025,66.67,3,Average
1026,34.67,3,Poor
1027,47.0,3,Poor
1028,29.0,3,Poor
1029,64.67,3,Average
1030,21.67,3,Poor
1031,57.67,3,Average
1032,20.67,3,Poor
1033,74.67,3,Average
1034,58.33,3,Average
1035,66.0,3,Average
1036,36.0,3,Poor
1037,53.33,3,Average
1038,52.0,3,Average
1039,56.33,3,Average
1040,68.0,3,Average
1041,75.33,3,Average
1042,72.33,3,Average
1043,76.0,3,Average
1044,30.67,3,Poor
1045,63.67,3,Average
1046,39.33,3,Poor
1047,48.33,3,Poor
1048,58.0,3,Average
1049,32.67,3,Poor
1050,51.33,3,Average
1051,50.0,3,Average
1052,40.0,3,Poor
1053,35.0,3,Poor
1054,61.33,3,Average
1055,67.33,3,Average
1056,49.33,3,Poor
1057,72.0,3,Average
1058,39.33,3,Poor
1059,46.67,3,Poor
1060,40.0,3,Poor
1061,66.0,3,Average
1062,71.33,3,Average
1063,62.67,3,Average
1064,41.67,3,Poor
1065,48.0,3,Poor
1066,73.0,3,Average
1067,50.67,3,Average
1068,49.33,3,Poor
1069,50.0,3,Average
1070,52.33,3,Average
1071,51.33,3,Average
1072,45.0,3,Poor
1073,44.33,3,Poor
1074,48.33,3,Poor
1075,54.33,3,Average
1076,38.33,3,Poor
1077,70.67,3,Average
1078,52.67,3,Average
1079,71.0,3,Average
1080,27.33,3,Poor
1081,53.67,3,Average
1082,70.0,3,Average
1083,35.33,3,Poor
1084,43.33,3,Poor
1085,65.0,3,Average
1086,26.0,3,Poor
1087,57.0,3,Average
1088,81.67,3,Excellent
1089,86.33,3,Excellent
1090,55.67,3,Average
1091,55.67,3,Average
1092,56.33,3,Average
1093,48.33,3,Poor
1094,39.67,3,Poor
1095,19.33,3,Poor
1096,24.33,3,Poor
1097,26.67,3,Poor
1098,78.33,3,Average
1099,52.0,3,Average
1100,47.33,3,Poor
1101,24.67,3,Poor
1102,57.67,3,Average
1103,57.0,3,Average
1104,66.67,3,Average
1105,74.33,3,Average
1106,64.0,3,Average
1107,70.67,3,Average
1108,30.67,3,Poor
1109,57.33,3,Average
1110,46.67,3,Poor
1111,27.0,3,Poor
1112,17.67,3,Poor
1113,38.0,3,Poor
1114,17.33,3,Poor
1115,27.67,3,Poor
1116,29.33,3,Poor
1117,47.67,3,Poor
1118,34.33,3,Poor
1119,66.0,3,Average
1120,50.33,3,Average
1121,50.0,3,Average
1122,65.0,3,Average
1123,71.33,3,Average
1124,35.0,3,Poor
1125,36.33,3,Poor
1126,31.67,3,Poor
1127,62.33,3,Average
1128,45.0,3,Poor
1129,59.0,3,Average
1130,57.0,3,Average
1131,46.33,3,Poor
1132,77.67,3,Average
1133,52.0,3,Average
1134,71.67,3,Average
1135,72.33,3,Average
1136,59.67,3,Average
1137,44.0,3,Poor
1138,78.0,3,Average
1139,66.33,3,Average
1140,52.67,3,Average
1141,38.33,3,Poor
1142,38.0,3,Poor
1143,49.0,3,Poor
1144,42.67,3,Poor
1145,64.33,3,Average
1146,41.33,3,Poor
1147,51.0,3,Average
1148,80.67,3,Excellent
1149,47.67,3,Poor
1150,34.67,3,Poor
1151,66.67,3,Average
1152,52.67,3,Average
1153,73.33,3,Average
1154,28.33,3,Poor
1155,45.67,3,Poor
1156,52.0,3,Average
1157,50.33,3,Average
1158,22.33,3,Poor
1159,91.0,3,Excellent
1160,42.67,3,Poor
1161,33.67,3,Poor
1162,43.0,3,Poor
1163,39.67,3,Poor
1164,32.33,3,Poor
1165,26.67,3,Poor
1166,33.0,3,Poor
1167,45.0,3,Poor
1168,38.0,3,Poor
1169,42.33,3,Poor
1170,37.67,3,Poor
1171,39.67,3,Poor
1172,53.67,3,Average
1173,78.33,3,Average
1174,48.67,3,Poor
1175,54.0,3,Average
1176,26.33,3,Poor
1177,18.67,3,Poor
1178,47.33,3,Poor
1179,47.33,3,Poor
1180,56.0,3,Average
1181,64.0,3,Average
1182,42.0,3,Poor
1183,64.33,3,Average
1184,43.33,3,Poor
1185,51.0,3,Average
1186,60.0,3,Average
1187,30.0,3,Poor
1188,31.0,3,Poor
1189,72.0,3,Average
1190,45.0,3,Poor
1191,47.67,3,Poor
1192,38.0,3,Poor
1193,56.67,3,Average
1194,37.0,3,Poor
1195,31.67,3,Poor
1196,50.33,3,Average
1197,38.0,3,Poor
1198,62.33,3,Average
1199,41.0,3,Poor
1200,49.33,3,Poor
1201,68.67,3,Average
1202,54.67,3,Average
1203,40.0,3,Poor
1204,44.33,3,Poor
1205,49.0,3,Poor
1206,77.33,3,Average
1207,77.33,3,Average
1208,57.0,3,Average
1209,46.0,3,Poor
1210,43.33,3,Poor
1211,52.33,3,Average
1212,61.67,3,Average
1213,23.0,3,Poor
1214,56.67,3,Average
1215,49.0,3,Poor
1216,34.33,3,Poor
1217,48.33,3,Poor
1218,49.33,3,Poor
1219,16.67,3,Poor
1220,36.0,3,Poor
1221,70.0,3,Average
1222,63.67,3,Average
1223,23.33,3,Poor
1224,63.0,3,Average
1225,26.67,3,Poor
1226,44.0,3,Poor
1227,58.0,3,Average
1228,74.0,3,Average
1229,68.67,3,Average
1230,46.67,3,Poor
1231,27.67,3,Poor
1232,53.67,3,Average
1233,79.0,3,Average
1234,34.67,3,Poor
1235,45.0,3,Poor
1236,21.0,3,Poor
1237,36.0,3,Poor
1238,16.67,3,Poor
1239,63.0,3,Average
1240,42.67,3,Poor
1241,41.67,3,Poor
1242,59.0,3,Average
1243,12.0,3,Poor
1244,87.0,3,Excellent
1245,43.67,3,Poor
1246,72.33,3,Average
1247,70.33,3,Average
1248,34.0,3,Poor
1249,57.33,3,Average
1250,54.33,3,Average
1251,21.33,3,Poor
1252,20.67,3,Poor
1253,34.67,3,Poor
1254,77.0,3,Average
1255,68.0,3,Average
1256,44.67,3,Poor
1257,53.0,3,Average
1258,52.0,3,Average
1259,54.33,3,Average
1260,62.67,3,Average
1261,67.33,3,Average
1262,59.33,3,Average
1263,44.67,3,Poor
1264,80.33,3,Excellent
1265,60.0,3,Average
1266,17.67,3,Poor
1267,29.33,3,Poor
1268,56.33,3,Average
1269,75.67,3,Average
1270,51.67,3,Average
1271,19.33,3,Poor
1272,42.33,3,Poor
1273,21.67,3,Poor
1274,62.0,3,Average
1275,65.0,3,Average
1276,51.67,3,Average
1277,82.33,3,Excellent
1278,66.0,3,Average
1279,57.67,3,Average
1280,46.0,3,Poor
1281,24.33,3,Poor
1282,60.0,3,Average
1283,24.0,3,Poor
1284,51.67,3,Average
1285,79.0,3,Average
1286,53.33,3,Average
1287,11.33,3,Poor
1288,43.67,3,Poor
1289,57.67,3,Average
1290,34.67,3,Poor
1291,88.33,3,Excellent
1292,62.33,3,Average
1293,39.33,3,Poor
1294,48.0,3,Poor
1295,47.33,3,Poor
1296,66.33,3,Average
1297,54.67,3,Average
1298,62.0,3,Average
1299,80.0,3,Excellent
1300,56.67,3,Average
1301,33.67,3,Poor
1302,67.33,3,Average
1303,32.33,3,Poor
1304,55.0,3,Average
1305,63.0,3,Average
1306,44.0,3,Poor
1307,68.0,3,Average
1308,19.67,3,Poor
1309,55.67,3,Average
1310,22.67,3,Poor
1311,65.33,3,Average
1312,62.33,3,Average
1313,11.67,3,Poor
1314,35.67,3,Poor
1315,59.0,3,Average
1316,68.67,3,Average
1317,28.67,3,Poor
1318,57.33,3,Average
1319,60.33,3,Average
1320,58.0,3,Average
1321,53.67,3,Average
1322,50.33,3,Average
1323,58.33,3,Average
1324,30.33,3,Poor
1325,57.67,3,Average
1326,40.0,3,Poor
1327,24.33,3,Poor
1328,39.0,3,Poor
1329,51.0,3,Average
1330,51.67,3,Average
1331,64.67,3,Average
1332,69.0,3,Average
1333,54.67,3,Average
1334,41.0,3,Poor
1335,36.0,3,Poor
1336,40.0,3,Poor
1337,48.67,3,Poor
1338,34.33,3,Poor
1339,70.0,3,Average
1340,35.0,3,Poor
1341,27.33,3,Poor
1342,36.67,3,Poor
1343,53.33,3,Average
1344,38.33,3,Poor
1345,52.33,3,Average
1346,71.67,3,Average
1347,47.67,3,Poor
1348,66.0,3,Average
1349,47.67,3,Poor
1350,79.67,3,Average
1351,35.0,3,Poor
1352,61.0,3,Average
1353,36.33,3,Poor
1354,44.67,3,Poor
1355,44.67,3,Poor
1356,13.33,3,Poor
1357,44.0,3,Poor
1358,75.0,3,Average
1359,37.33,3,Poor
1360,24.33,3,Poor
1361,64.33,3,Average
1362,22.33,3,Poor
1363,66.67,3,Average
1364,32.0,3,Poor
1365,67.67,3,Average
1366,58.33,3,Average
1367,26.67,3,Poor
1368,38.67,3,Poor
1369,61.67,3,Average
1370,57.33,3,Average
1371,30.0,3,Poor
1372,52.67,3,Average
1373,62.0,3,Average
1374,56.0,3,Average
1375,47.33,3,Poor
1376,49.0,3,Poor
1377,62.0,3,Average
1378,66.0,3,Average
1379,63.0,3,Average
1380,36.67,3,Poor
1381,47.67,3,Poor
1382,62.67,3,Average
1383,48.67,3,Poor
1384,51.67,3,Average
1385,67.33,3,Average
1386,57.67,3,Average
1387,38.67,3,Poor
1388,53.67,3,Average
1389,59.0,3,Average
1390,64.33,3,Average
1391,35.33,3,Poor
1392,82.0,3,Excellent
1393,57.0,3,Average
