employeeId,role,trainingId,assignment_score,codeQuality,communication,problemSolving,timeManagement
306,EMPLOYEE,17,79,93,84,47,88
307,EMPLOYEE,8,65,95,65,38,99
307,EMPLOYEE,6,65,62,62,90,72
307,EMPLOYEE,47,63,41,59,29,9
308,EMPLOYEE,36,83,24,43,3,54
308,EMPLOYEE,39,23,39,92,98,32
308,EMPLOYEE,30,88,32,100,86,19
309,EMPLOYEE,14,4,100,36,16,90
309,EMPLOYEE,2,12,33,20,20,99
309,EMPLOYEE,36,85,60,10,89,86
310,EMPLOYEE,8,70,95,90,57,62
310,EMPLOYEE,2,40,39,47,63,65
310,EMPLOYEE,4,10,84,62,97,36
311,EMPLOYEE,18,41,77,3,23,71
311,EMPLOYEE,14,7,83,87,79,75
311,EMPLOYEE,12,11,15,51,72,93
312,EMPLOYEE,7,85,30,37,6,28
312,EMPLOYEE,6,83,90,7,34,92
312,EMPLOYEE,5,96,49,30,98,66
313,EMPLOYEE,28,84,17,14,38,88
313,EMPLOYEE,29,46,32,30,58,15
313,EMPLOYEE,45,96,75,94,96,54
314,EMPLOYEE,45,45,60,51,93,37
314,EMPLOYEE,27,25,84,6,34,9
314,EMPLOYEE,24,68,79,63,32,92
315,EMPLOYEE,33,79,74,36,95,14
315,EMPLOYEE,43,60,57,45,39,47
315,EMPLOYEE,21,22,8,53,82,88
316,EMPLOYEE,37,46,69,88,29,85
316,EMPLOYEE,34,34,64,5,50,85
316,EMPLOYEE,11,17,97,80,86,20
317,EMPLOYEE,35,79,90,96,6,4
317,EMPLOYEE,26,52,77,76,7,73
317,EMPLOYEE,14,32,92,76,74,11
318,EMPLOYEE,13,34,21,89,89,85
318,EMPLOYEE,26,21,34,1,45,68
318,EMPLOYEE,2,34,55,65,88,45
319,EMPLOYEE,38,72,55,81,14,57
319,EMPLOYEE,14,88,70,64,55,28
319,EMPLOYEE,23,55,57,14,21,25
320,EMPLOYEE,30,38,66,24,19,80
320,EMPLOYEE,43,78,13,8,8,57
320,EMPLOYEE,50,90,26,78,94,58
321,EMPLOYEE,40,60,99,1,25,27
321,EMPLOYEE,5,86,64,3,100,52
321,EMPLOYEE,8,94,54,91,8,88
322,EMPLOYEE,41,96,38,98,37,84
322,EMPLOYEE,22,38,84,20,50,24
322,EMPLOYEE,37,37,12,29,67,39
323,EMPLOYEE,33,80,27,71,26,56
323,EMPLOYEE,38,49,97,89,57,65
323,EMPLOYEE,12,81,13,35,30,96
324,EMPLOYEE,42,37,11,5,5,65
324,EMPLOYEE,27,58,50,61,75,43
324,EMPLOYEE,1,28,1,30,51,19
325,EMPLOYEE,13,7,6,52,85,100
325,EMPLOYEE,50,72,19,16,87,23
325,EMPLOYEE,23,45,75,14,14,99
326,EMPLOYEE,4,38,48,39,69,21
326,EMPLOYEE,49,77,45,94,33,20
326,EMPLOYEE,46,33,9,38,31,95
327,EMPLOYEE,37,71,74,32,12,26
327,EMPLOYEE,3,21,61,48,37,94
327,EMPLOYEE,17,5,55,84,39,69
328,EMPLOYEE,25,34,33,71,32,59
328,EMPLOYEE,21,31,65,76,93,2
328,EMPLOYEE,47,86,81,79,26,24
329,EMPLOYEE,34,40,98,72,77,46
329,EMPLOYEE,42,57,65,69,89,52
329,EMPLOYEE,21,62,65,17,22,46
330,EMPLOYEE,29,35,48,37,87,17
330,EMPLOYEE,14,57,23,56,12,44
330,EMPLOYEE,32,80,73,12,0,59
331,EMPLOYEE,37,72,46,30,93,29
331,EMPLOYEE,30,11,90,40,100,51
331,EMPLOYEE,2,89,33,32,64,21
332,EMPLOYEE,35,91,25,7,25,16
332,EMPLOYEE,45,70,76,99,24,8
332,EMPLOYEE,17,41,63,26,38,11
333,EMPLOYEE,31,99,75,8,84,18
333,EMPLOYEE,27,21,92,59,70,30
333,EMPLOYEE,18,93,90,41,24,34
334,EMPLOYEE,32,50,15,88,23,53
334,EMPLOYEE,9,59,75,32,96,27
334,EMPLOYEE,44,80,60,29,34,84
335,EMPLOYEE,34,32,72,96,55,30
335,EMPLOYEE,44,28,31,31,76,44
335,EMPLOYEE,16,61,70,15,21,74
336,EMPLOYEE,32,58,53,70,75,74
336,EMPLOYEE,6,81,23,32,44,86
336,EMPLOYEE,33,52,75,53,10,46
337,EMPLOYEE,43,41,34,94,82,87
337,EMPLOYEE,27,5,6,74,54,66
337,EMPLOYEE,30,66,21,49,33,76
338,EMPLOYEE,8,96,76,19,87,32
338,EMPLOYEE,22,26,75,50,25,67
338,EMPLOYEE,20,95,80,11,45,75
339,EMPLOYEE,31,11,57,95,91,16
339,EMPLOYEE,28,76,64,38,39,70
339,EMPLOYEE,16,29,57,61,80,43
340,EMPLOYEE,6,5,46,74,89,15
340,EMPLOYEE,16,55,7,7,43,66
340,EMPLOYEE,13,87,71,17,48,90
341,EMPLOYEE,45,26,84,50,78,61
341,EMPLOYEE,10,18,13,11,90,62
341,EMPLOYEE,3,92,29,24,19,7
342,EMPLOYEE,12,52,15,40,33,94
342,EMPLOYEE,15,93,17,23,79,60
342,EMPLOYEE,30,18,86,83,54,78
343,EMPLOYEE,9,4,99,67,72,21
343,EMPLOYEE,7,49,42,39,65,22
343,EMPLOYEE,14,53,57,6,79,22
344,EMPLOYEE,50,18,17,16,50,75
344,EMPLOYEE,19,65,41,46,63,18
344,EMPLOYEE,26,80,49,77,2,59
345,EMPLOYEE,44,16,62,41,26,16
345,EMPLOYEE,48,96,99,67,68,53
345,EMPLOYEE,1,90,46,42,55,82
346,EMPLOYEE,15,63,53,11,75,17
346,EMPLOYEE,17,78,2,23,11,71
346,EMPLOYEE,5,88,100,86,14,13
347,EMPLOYEE,50,39,70,12,93,28
347,EMPLOYEE,49,51,50,46,70,17
347,EMPLOYEE,48,2,54,46,35,31
348,EMPLOYEE,44,50,3,43,76,10
348,EMPLOYEE,29,54,72,77,59,21
348,EMPLOYEE,31,89,86,82,89,66
349,EMPLOYEE,42,6,13,67,11,82
349,EMPLOYEE,12,92,36,97,85,58
349,EMPLOYEE,17,49,60,58,100,78
350,EMPLOYEE,14,33,19,64,52,37
350,EMPLOYEE,12,7,77,33,63,62
350,EMPLOYEE,49,63,59,16,63,17
351,EMPLOYEE,38,63,59,9,1,47
351,EMPLOYEE,1,41,23,96,86,76
351,EMPLOYEE,41,40,76,40,56,42
352,EMPLOYEE,4,8,39,70,69,8
352,EMPLOYEE,36,74,10,15,70,62
352,EMPLOYEE,39,81,78,61,48,100
353,EMPLOYEE,36,52,3,51,40,4
353,EMPLOYEE,49,15,31,94,88,9
353,EMPLOYEE,12,23,31,37,94,46
354,EMPLOYEE,21,90,43,27,49,84
354,EMPLOYEE,19,10,3,56,63,19
354,EMPLOYEE,14,17,20,100,64,14
355,EMPLOYEE,6,18,11,25,88,13
355,EMPLOYEE,39,12,42,0,86,13
355,EMPLOYEE,42,29,40,53,38,88
356,EMPLOYEE,11,8,0,76,9,10
356,EMPLOYEE,26,42,82,61,11,4
356,EMPLOYEE,39,76,54,2,11,6
357,EMPLOYEE,43,67,7,42,58,94
357,EMPLOYEE,38,27,43,11,50,59
357,EMPLOYEE,12,76,70,83,53,87
358,EMPLOYEE,12,89,79,61,79,100
358,EMPLOYEE,41,34,79,34,79,47
358,EMPLOYEE,20,42,60,44,91,80
359,EMPLOYEE,39,73,12,85,38,32
359,EMPLOYEE,25,58,44,58,5,70
359,EMPLOYEE,45,99,49,89,6,50
360,EMPLOYEE,36,93,36,57,60,88
360,EMPLOYEE,33,20,36,58,16,32
360,EMPLOYEE,38,14,11,69,53,10
361,EMPLOYEE,37,17,28,8,33,70
361,EMPLOYEE,27,66,26,0,76,14
361,EMPLOYEE,48,21,35,88,88,99
362,EMPLOYEE,36,17,1,30,35,15
362,EMPLOYEE,45,90,10,77,2,74
362,EMPLOYEE,10,26,44,48,67,96
363,EMPLOYEE,28,79,25,65,92,71
363,EMPLOYEE,38,21,30,53,61,12
363,EMPLOYEE,44,35,49,77,30,15
364,EMPLOYEE,23,62,56,77,48,6
364,EMPLOYEE,28,83,20,2,71,56
364,EMPLOYEE,26,66,81,52,37,16
365,EMPLOYEE,27,97,40,9,12,33
365,EMPLOYEE,39,97,88,9,18,53
365,EMPLOYEE,6,34,66,99,24,0
366,EMPLOYEE,9,41,84,33,57,61
366,EMPLOYEE,7,43,90,86,94,91
366,EMPLOYEE,33,57,36,23,62,48
367,EMPLOYEE,18,86,55,65,51,9
367,EMPLOYEE,48,43,68,58,82,31
367,EMPLOYEE,27,53,99,5,17,99
368,EMPLOYEE,3,36,28,18,98,4
368,EMPLOYEE,13,87,62,78,14,73
368,EMPLOYEE,19,33,41,16,67,21
369,EMPLOYEE,11,49,12,45,80,47
369,EMPLOYEE,32,44,31,27,0,38
369,EMPLOYEE,18,12,35,53,1,81
370,EMPLOYEE,50,56,73,13,93,11
370,EMPLOYEE,27,98,20,58,67,86
370,EMPLOYEE,41,73,94,3,35,39
371,EMPLOYEE,8,47,9,76,0,20
371,EMPLOYEE,6,73,77,26,63,59
371,EMPLOYEE,41,19,55,1,39,63
372,EMPLOYEE,44,55,9,21,77,19
372,EMPLOYEE,24,0,82,21,63,94
372,EMPLOYEE,10,62,52,2,55,5
373,EMPLOYEE,27,31,93,15,13,83
373,EMPLOYEE,50,45,71,70,13,36
373,EMPLOYEE,22,46,62,47,43,52
374,EMPLOYEE,6,1,49,77,74,50
374,EMPLOYEE,47,73,85,3,19,25
374,EMPLOYEE,23,10,34,84,58,75
375,EMPLOYEE,25,12,21,57,91,83
375,EMPLOYEE,34,4,94,48,95,41
375,EMPLOYEE,33,43,36,58,6,70
376,EMPLOYEE,8,49,73,32,34,30
376,EMPLOYEE,4,33,70,98,74,100
376,EMPLOYEE,28,22,41,95,90,81
377,EMPLOYEE,5,22,2,78,83,57
377,EMPLOYEE,44,15,100,24,51,65
377,EMPLOYEE,1,51,69,90,68,79
378,EMPLOYEE,20,44,7,24,39,88
378,EMPLOYEE,11,39,7,69,90,93
378,EMPLOYEE,17,53,18,14,21,43
379,EMPLOYEE,47,22,82,90,57,7
379,EMPLOYEE,10,43,69,91,38,59
379,EMPLOYEE,1,0,21,78,5,34
380,EMPLOYEE,47,21,2,23,23,12
380,EMPLOYEE,48,17,85,96,78,29
380,EMPLOYEE,30,95,43,92,74,76
381,EMPLOYEE,8,67,93,88,97,14
381,EMPLOYEE,41,9,37,89,51,16
381,EMPLOYEE,29,65,41,39,51,56
382,EMPLOYEE,49,62,67,41,0,7
382,EMPLOYEE,41,26,95,10,56,59
382,EMPLOYEE,28,97,26,28,27,44
383,EMPLOYEE,34,81,50,94,58,9
383,EMPLOYEE,7,10,92,95,35,91
383,EMPLOYEE,26,46,23,92,98,19
384,EMPLOYEE,19,92,62,22,22,87
384,EMPLOYEE,22,13,10,55,36,89
384,EMPLOYEE,46,80,90,16,70,82
385,EMPLOYEE,25,84,71,37,68,46
385,EMPLOYEE,28,97,26,51,13,71
385,EMPLOYEE,42,90,47,12,94,89
386,EMPLOYEE,45,70,21,29,29,97
386,EMPLOYEE,9,89,100,0,48,79
386,EMPLOYEE,22,37,42,6,97,71
387,EMPLOYEE,28,87,26,35,75,45
387,EMPLOYEE,29,47,53,59,94,29
387,EMPLOYEE,9,80,6,9,19,17
388,EMPLOYEE,9,32,53,55,20,20
388,EMPLOYEE,31,10,53,2,0,16
388,EMPLOYEE,4,49,13,68,58,1
389,EMPLOYEE,45,65,17,87,15,42
389,EMPLOYEE,23,22,61,3,64,28
389,EMPLOYEE,22,3,21,72,82,75
390,EMPLOYEE,47,55,37,43,25,21
390,EMPLOYEE,3,30,70,36,68,0
390,EMPLOYEE,31,66,20,6,23,50
391,EMPLOYEE,44,50,42,44,60,40
391,EMPLOYEE,16,48,53,17,12,37
391,EMPLOYEE,34,88,88,30,8,36
392,EMPLOYEE,33,99,37,72,36,39
392,EMPLOYEE,36,96,36,16,27,47
392,EMPLOYEE,12,27,44,89,53,20
393,EMPLOYEE,46,7,86,30,1,46
393,EMPLOYEE,34,84,43,90,11,18
393,EMPLOYEE,30,5,50,74,35,74
394,EMPLOYEE,21,26,32,62,58,71
394,EMPLOYEE,27,11,37,17,26,96
394,EMPLOYEE,20,4,27,80,44,58
395,EMPLOYEE,32,64,62,80,2,27
395,EMPLOYEE,16,29,5,18,6,47
395,EMPLOYEE,49,11,45,86,85,88
396,EMPLOYEE,11,27,42,72,48,33
396,EMPLOYEE,22,31,18,57,46,77
396,EMPLOYEE,49,90,81,95,54,78
397,EMPLOYEE,4,29,51,36,5,16
397,EMPLOYEE,17,77,35,11,4,11
397,EMPLOYEE,7,15,98,90,2,45
398,EMPLOYEE,48,54,18,31,43,19
398,EMPLOYEE,27,37,27,7,29,19
398,EMPLOYEE,20,0,85,6,57,55
399,EMPLOYEE,7,39,6,21,21,30
399,EMPLOYEE,17,89,51,61,47,75
399,EMPLOYEE,46,6,61,63,65,97
400,EMPLOYEE,39,75,76,29,2,29
400,EMPLOYEE,14,26,24,31,62,82
400,EMPLOYEE,26,98,55,46,41,6
401,EMPLOYEE,1,15,23,88,65,37
401,EMPLOYEE,5,65,11,22,79,84
401,EMPLOYEE,25,78,72,22,37,10
402,EMPLOYEE,13,32,100,0,93,42
402,EMPLOYEE,16,57,50,3,43,97
402,EMPLOYEE,29,36,96,67,97,18
403,EMPLOYEE,9,0,94,46,86,42
403,EMPLOYEE,19,64,26,73,77,38
403,EMPLOYEE,13,79,23,8,10,18
404,EMPLOYEE,43,39,41,61,56,97
404,EMPLOYEE,44,56,8,29,90,19
404,EMPLOYEE,34,39,75,20,97,14
405,EMPLOYEE,49,29,46,3,5,33
405,EMPLOYEE,28,57,75,18,82,93
405,EMPLOYEE,12,38,43,40,57,68
406,EMPLOYEE,40,10,0,27,33,20
406,EMPLOYEE,25,1,35,52,97,41
406,EMPLOYEE,9,93,29,82,88,8
407,EMPLOYEE,39,90,29,82,100,90
407,EMPLOYEE,4,70,34,66,17,31
407,EMPLOYEE,23,47,58,6,66,89
408,EMPLOYEE,43,29,43,36,4,36
408,EMPLOYEE,21,33,22,50,2,21
408,EMPLOYEE,24,42,73,77,80,92
409,EMPLOYEE,46,57,8,56,94,57
409,EMPLOYEE,48,47,100,52,45,47
409,EMPLOYEE,23,77,78,52,17,36
410,EMPLOYEE,3,77,75,5,39,26
410,EMPLOYEE,5,100,12,91,90,12
410,EMPLOYEE,45,36,4,1,73,29
411,EMPLOYEE,50,23,2,94,31,83
411,EMPLOYEE,1,1,52,30,75,15
411,EMPLOYEE,49,29,56,43,41,81
412,EMPLOYEE,5,80,34,4,55,27
412,EMPLOYEE,16,23,1,30,87,41
412,EMPLOYEE,40,79,59,66,29,51
413,EMPLOYEE,46,49,15,74,57,87
413,EMPLOYEE,1,66,62,78,100,30
413,EMPLOYEE,44,100,10,71,86,84
414,EMPLOYEE,31,25,85,72,35,83
414,EMPLOYEE,33,85,22,98,80,52
414,EMPLOYEE,12,1,38,19,52,23
415,EMPLOYEE,16,77,13,59,70,49
415,EMPLOYEE,48,5,87,13,21,19
415,EMPLOYEE,30,22,94,56,3,11
416,EMPLOYEE,14,10,33,7,53,71
416,EMPLOYEE,26,66,19,62,26,64
416,EMPLOYEE,34,52,57,57,32,40
417,EMPLOYEE,28,94,78,68,76,92
417,EMPLOYEE,16,45,21,55,82,91
417,EMPLOYEE,29,0,94,48,51,14
418,EMPLOYEE,33,28,36,61,34,30
418,EMPLOYEE,32,44,91,60,54,71
418,EMPLOYEE,47,55,24,80,50,6
419,EMPLOYEE,21,45,34,46,36,40
419,EMPLOYEE,23,43,33,71,36,5
419,EMPLOYEE,46,89,84,10,37,3
420,EMPLOYEE,36,36,28,89,40,96
420,EMPLOYEE,25,98,71,74,90,25
420,EMPLOYEE,19,18,85,50,96,61
421,EMPLOYEE,9,80,33,100,38,31
421,EMPLOYEE,23,40,90,87,98,26
421,EMPLOYEE,24,39,49,28,78,33
422,EMPLOYEE,24,72,23,97,12,52
422,EMPLOYEE,10,60,56,29,6,75
